time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7
57416.74477613,12.313675882036268,12.363357533109925,13.988026788639791,14.47455916510304,14.770618675558547,13.068451429130187,13.559400492439787,12.457052934009793
59599.56130467,12.331835673663052,12.385927697322618,13.967742956469495,14.477264718469463,14.77874020651716,13.087472894439246,13.57718601564073,12.477933758084676
58344.903530794996,12.320053165697146,12.369971266079007,13.946324215543996,14.504628674250533,14.796031584329972,13.065015755937575,13.58283260175772,12.466536612063665
56886.282790929996,12.31349704087476,12.367475330834331,13.935933739225131,14.468866991986173,14.771349385667191,13.055122072309718,13.56539611237731,12.457501532927376
59440.45449338,12.331808338497613,12.380869790918457,13.957612476844904,14.531275265217424,14.839508707385772,13.057028763400432,13.590806048922756,12.472800287710676
57249.390324045,12.320339782912011,12.373731828441555,13.958871398636665,14.493497041795555,14.784648075048453,13.050816872438782,13.587333737550649,12.4705785992435
57056.675708185,12.306174996770704,12.359598729570848,13.973091752119583,14.443570137456506,14.742805952829988,13.064185710392993,13.584902509002276,12.46611082149792
58504.034710575,12.31694293476436,12.366750979390996,13.947581812763461,14.453048900420606,14.785965143962544,13.073255189508766,13.576605809906551,12.469876312509323
58713.055034000005,12.327844278717015,12.380862451786733,13.91158971225473,14.51792947287034,14.809150760236514,13.058620047272711,13.59882324447434,12.47652581019477
57979.35652,12.315492056929083,12.366979648688742,13.94852896697859,14.508905635087817,14.78127698465949,13.068732932202256,13.575035775108814,12.473274441256946
55232.479270665004,12.29827627636549,12.357903275566665,13.975227274760673,14.556000686279098,14.779517172120896,13.022503463063911,13.580650700100957,12.454224814728308
57783.83455408,12.315851998296559,12.368344199876349,14.00424596040698,14.44551847700728,14.748696647983222,13.067293143451248,13.569190045585964,12.474335366317833
59234.220502690005,12.313954612277554,12.366064863026628,13.976392663210369,14.418429986210855,14.791195814635303,13.084793630753532,13.56340637642301,12.47761567727291
56695.740338125004,12.313003391297602,12.364837232596281,13.957587276150408,14.451272066607393,14.709794815558448,13.060000874223183,13.571044888042573,12.448525087063928
58868.209139975,12.319718327287552,12.367774176351151,13.995213103387586,14.456910400132779,14.753719591317747,13.083043565584,13.564506071268987,12.489157825371992
58140.781325335,12.313539794529069,12.366932709382988,13.974282672286739,14.416801147296605,14.704751227340884,13.090262651947045,13.573277699191879,12.480179351969353
59074.80664526,12.311986217285378,12.364291978641054,13.950926953748793,14.556494869246501,14.833114811576271,13.047698385730309,13.595779123694841,12.478816728198955
57613.72933953,12.313655199325211,12.3683062501116,13.939269361761703,14.545248734770098,14.813869579914385,13.061784467230728,13.572950006491771,12.476394123975195
