\fixlen = T
\RowsRetrieved = 1514
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       331.71249999999998                 59.04542    77830a        0a                      240                        1                        5                  116.116                   999999       115.59099999999999       1482312074.6099999 2016-12-21 09:21:14.605           77830a240-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77838a        8a                      241                        1                        5                  115.747                   999999       84.974000000000004            1482334716.76 2016-12-21 15:38:36.755           77838a241-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77841a        1a                      217                        1                        5       116.00700000000001                   999999       78.442999999999998             1482340371.8 2016-12-21 17:12:51.796           77841a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77842a        2a                      240                        1                        5                   116.22                   999999       74.609999999999999       1482346026.8299999 2016-12-21 18:47:06.828           77842a240-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77842a        2a                      241                        1                        5       115.53400000000001                   999999       75.031000000000006       1482346037.8299999 2016-12-21 18:47:17.828           77842a241-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77845a        5a                      217                        1                        5                  115.782                   999999       74.677000000000007       1482351692.8699999 2016-12-21 20:21:32.868           77845a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77846a        6a                      241                        1                        5       115.99299999999999                   999999       75.438000000000002       1482357347.9000001 2016-12-21 21:55:47.905           77846a241-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77849a        9a                      216                        1                        5                  116.227                   999999       78.322999999999993       1482363002.9400001 2016-12-21 23:30:02.941           77849a216-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77849a        9a                      217                        1                       10       115.53700000000001                   999999       78.828999999999994       1482363013.9400001 2016-12-21 23:30:13.945           77849a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77850a        0a                      241                        1                        5                  115.748                   999999       84.668999999999997            1482368668.98 2016-12-22 01:04:28.982           77850a241-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77853a        3a                      216                        1                        5       115.96899999999999                   999999                   92.497            1482374324.02 2016-12-22 02:38:44.018           77853a216-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77855a        5a                      156                        1                       10                  115.488                   999999                  101.325            1482379990.05 2016-12-22 04:13:10.054           77855a156-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77857a        7a                      217                        1                        5                  115.694                   999999                  109.315       1482385645.0899999 2016-12-22 05:47:25.091           77857a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77861a        1a                      217                        1                        5       115.40300000000001                   999999                  115.857       1482396966.1600001 2016-12-22 08:56:06.163           77861a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77865a        5a                      216                        1                        5       115.78700000000001                   999999                  104.123            1482408276.53 2016-12-22 12:04:36.528           77865a216-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77865a        5a                      217                        1                        5       115.09699999999999                   999999                  103.611            1482408287.54 2016-12-22 12:04:47.544           77865a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77866a        6a                      241                        1                        5       115.27200000000001                   999999       95.316999999999993       1482413942.5999999 2016-12-22 13:39:02.596           77866a241-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77869a        9a                      216                        1                        5       115.43899999999999                   999999       87.048000000000002       1482419597.6300001 2016-12-22 15:13:17.635           77869a216-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77870a        0a                      241                        1                        5                  114.949                   999999       80.272999999999996       1482425263.6800001 2016-12-22 16:47:43.678           77870a241-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77873a        3a                      217                        1                       10       115.10299999999999                   999999       75.837999999999994            1482430918.72 2016-12-22 18:21:58.721           77873a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77874a        4a                      240                        1                        5       115.29900000000001                   999999       74.402000000000001            1482436573.76 2016-12-22 19:56:13.760           77874a240-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77877a        7a                      217                        1                       10                  114.752                   999999                   75.878             1482442239.8 2016-12-22 21:30:39.800           77877a217-w1-int-1b.fits 
                        1       331.71249999999998                 59.04542    77881a        1a                      217                        1                        5       114.38800000000001                   999999       83.468000000000004       1482453560.8900001 2016-12-23 00:39:20.886           77881a217-w1-int-1b.fits 
