time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4
58156.020371809995,12.754791322674572,13.49970564675226,13.236911391991203,12.923030261073778,12.81023604757515
56713.710639490004,12.729866834391022,13.407676838332392,13.280244459581542,12.977727841170045,12.828459200140822
58729.027779865,12.802076471544956,13.45318197632207,13.235731057043326,12.96877320291492,12.795735951116919
59251.53484784,12.710357297125686,13.489101488687341,13.306780631246683,12.951187131267654,12.822160136419784
57633.65639364,12.773124335715393,13.366640887021472,13.278697931327446,12.915341255949162,12.738078904410079
55250.332676225,12.729572382047817,13.441949499185299,13.24345723345915,12.972163160923406,12.809053313484975
58887.3614851,12.776719916265828,13.556183682993654,13.32352075873033,12.963287812539615,12.900915607568688
57997.830309455,12.784361865095754,13.461563800768928,13.258797070025325,12.885666373717738,12.794119521357858
59093.19350868,12.761245976960238,13.344458848168316,13.269227383245974,13.011293236141986,12.835003922087482
57798.951673485004,12.757644052800796,13.468638119156621,13.459647147986173,13.006057752876323,12.80520191160711
57268.29405772,12.784199382155533,13.52125093806824,13.229499070605799,12.937616674293059,12.826753177331215
59617.971141485,12.808861488447096,13.405873585081428,13.280103311782025,12.981329170054204,12.807193231230224
58363.56455944,12.770041187021732,13.519261241207747,13.28510875304187,12.952233013964603,12.84047314138646
57075.811315240004,12.785728821553281,13.428644047559184,13.231333861835518,12.876477787001111,12.83820614520531
57433.252808345,12.703760228073985,13.450967229715626,13.228562761804936,12.893462550499168,12.82213389378856
59460.464600215,12.775670405129608,13.445425053700054,13.280860343128504,12.957653337483443,12.794053697515833
58524.11013922,12.758681859035711,13.500644960562655,13.331155334510509,12.959592648692121,12.815278218350342
56904.712365515,12.740965536444323,13.373937693725505,13.236200124863528,12.928572725111293,12.752018322337209
