time,aperture:0,aperture:1
57621.63377437,13.924920490213275,11.408450250758529
58872.97368425,13.91253374484502,11.402758786043952
58143.323827855,13.849837052208613,11.404130340673383
59081.160350210004,13.88454536621865,11.39543865913699
56702.119328325,13.917468688656088,11.377534559415967
58716.172516445,13.862137895989822,11.402580888930457
57786.738702545,13.887947627980408,11.384681325693867
55237.365415755005,13.842357182815459,11.397376868090397
59240.09422423,13.921100665291076,11.39922215466311
57985.782748415004,13.881623333409333,11.407356616767931
59445.300585439996,13.878760727107396,11.401577662238559
57061.198057215006,13.937263433600519,11.380961185284587
57254.582917025,13.844606391367916,11.403030576069492
58508.735329639996,13.917608877584557,11.389970199803646
56892.60805646,13.908607661292752,11.384368330764254
59604.320053725,13.899099120963646,11.402373916796057
58349.88702352,13.901034699143796,11.390203372373453
57420.733460655,13.887236044617884,11.396136631906685
