time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8
57268.49162299,13.837772902461039,13.962031156000418,11.171684930172288,10.022842413721117,13.354656277189441,13.786333366968524,13.140575023370651,13.031189080790874,13.02571935292337
59093.717375985,13.858087694762684,13.965854554277525,11.173200097602894,10.64617250952096,13.356547179441803,13.830467490678403,13.144761274252259,13.047237629674036,13.017687816629198
58887.753176985,13.838291966025702,13.973568381318708,11.16242218950218,10.462113780098965,13.360496537748228,13.820935091521823,13.162758186093155,13.018632486392642,13.008280195303504
57076.007606955,13.82387470225216,13.92352828208102,11.176878407333831,9.789886105681669,13.357397903010424,13.820218683836325,13.163284195903534,13.014042029741852,12.99237835192463
57433.71090838,13.820896582161602,13.949834747449719,11.174894462630172,10.172290726228903,13.349153541077365,13.867541840354548,13.180487747713071,12.994167680568708,12.988565552087785
59251.860960549995,13.83479705872443,13.92943814837839,11.166245103536264,10.182695864979323,13.386728819904315,13.844734716782009,13.175673055703347,13.03366156930131,13.01846091019882
58729.42125381,13.882058234334645,13.999130623602323,11.16146596625333,10.2578019342978,13.387994069230116,13.84631664368767,13.155342795744117,13.027452289089316,12.99776119622035
56905.107750135,13.85986621633342,13.978722132165737,11.160643602979404,9.82626376149433,13.362538253053815,13.834187189819074,13.13521000358669,13.03399584204153,13.020855741009054
56714.105132145,13.895824827252275,14.008811562369438,11.156605810679151,10.111846906864999,13.395636563163434,13.833922095759457,13.167274023430993,13.011044702107109,12.991785197120281
58524.305666995,13.823889600369807,13.929077365712516,11.16946022178177,10.374009930219085,13.386963042916395,13.81114581491574,13.18963370658295,12.995539246245894,13.024633281658597
58156.412574955,13.853593652521367,13.97175551942315,11.158613838207923,9.872637250918979,13.375089371864538,13.840258157151922,13.187142970976215,13.013239961707383,13.00965538628788
59460.857437094994,13.845428604549062,13.962157163208298,11.168784220209137,10.438922384720263,13.35668005741569,13.842844946588572,13.17092179726959,12.998520287657287,13.035435445708305
57633.984735195,13.855745592419607,13.954829195621315,11.166612144463675,10.434463384183369,13.341463970340246,13.81314142006012,13.162282902622584,13.025163237233945,13.006996909093337
57998.28929862,13.810999819618726,13.93708973755798,11.16928126342668,10.117979208970754,13.357128364304495,13.810511659734312,13.17925088321466,13.036727696084142,13.01921135087938
55250.795103925004,13.88086500373833,13.981040934277459,11.171874192868573,10.232820221060088,13.389270316015244,13.885523722257908,13.174208193622688,13.007227712975421,13.03537898858834
58363.89251787,13.82459779446022,13.932367671328981,11.163016114017612,10.123440224423922,13.37525909475081,13.794336266071197,13.147966570061852,13.034390058769194,13.002695360806898
59618.166350675,13.810785717471106,13.933649277495865,11.188066294091204,10.623942830192629,13.367236933997823,13.884541561108032,13.16469321857818,13.027663506094282,13.038561892491828
57799.34387622,13.831171094094586,13.948223034794713,11.162098415909735,10.348256702385932,13.361519354842352,13.785520984871248,13.173837247894925,13.023825500314521,13.003340265654687
