time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19
57253.237720185,13.801865572679924,13.943083095056647,14.03308431003517,14.979984785048915,14.487873896069628,13.258992604902206,13.846675228322558,12.893229460027523,13.493717608346037,13.485551115181506,14.22515061930417,14.736828377188278,12.911871546465242,13.65624398111156,12.315454566401414,13.37998761428665,14.384188864761995,12.515153882644688,13.6864591894801,13.793250711932227
58700.145394795,13.778567514379363,13.92774092291578,13.988570418482988,14.95596125524869,14.481093359326369,13.256674223328893,13.92481449784298,12.917678463338836,13.491246983936472,13.488401419329536,14.280709664910686,14.642790400561461,11.996624708570373,13.657540757865526,11.535846578303657,13.37344963126186,14.302265028170497,12.553685437633776,13.767984926156798,13.788410447094881
59265.036885775,13.746840613960915,13.884068589318366,14.046295705124699,14.882254689570816,14.428620015214529,13.296080445996038,13.858954999331656,12.889463857920523,13.516815854615018,13.466403533810846,14.239329064009185,14.626957936699798,12.12619307519435,13.73827626000269,11.688016117536003,13.450456163901999,14.368093847598322,12.514166726894162,13.664213508364943,13.843872255143436
57074.03966024,13.702040063235398,13.819405525254409,14.075964787501201,15.00305498867846,14.492106787033098,13.279876715676112,13.830654326145188,12.884386384122532,13.473208538956824,13.454527760695719,14.164210390428883,14.639930386426153,12.863402339344825,13.719852062064001,12.371796135394012,13.371683753389119,14.30959378868508,12.518671248821056,13.662995064848701,13.819536571053083
58900.804435195,13.737459852545047,13.867632614571722,13.989234730041774,15.11987909140377,14.511456544151047,13.28231997953896,13.802207955333252,12.897147514190173,13.512830761636266,13.517631115496707,14.220493067086181,14.761981943136396,12.078962790311776,13.666824432215758,11.65037299615195,13.415826471138365,14.414619850032073,12.50764340057073,13.677301974727897,13.83730870502137
57438.13788904,13.784096775130918,13.915088555087722,14.047973382401821,14.927801828066327,14.515928332580453,13.266098781776781,13.834859800310577,12.885736272292826,13.494933804759969,13.518471688999224,14.226809116631213,14.728921798068589,12.429138151636161,13.640103136275437,11.883830251114498,13.387284089687919,14.363333512912122,12.517058168382354,13.671736450558772,13.87289329178733
56890.66704261,13.769859994262395,13.927503928801292,13.923185869493812,15.061880414276798,14.498619595325266,13.243068266626677,13.883309868136989,12.908794201836598,13.48518449613774,13.46397888273861,14.219396474693573,14.690216119006239,12.093848853179777,13.6221746000723,11.802669389304588,13.419670161484197,14.292613386388327,12.504084664985355,13.757396671690826,13.833791810222186
59063.535862150005,13.75867590978124,13.90770501845269,13.961055813577984,14.977289796350783,14.555321416235655,13.295151901346966,13.871764649324545,12.882707352054256,13.4992673121961,13.513201708165422,14.208545465418814,14.777253171700966,12.261757207915755,13.652243069490709,11.817419326856282,13.410258136728883,14.340525011196084,12.514009868838965,13.72912166886969,13.852834259697536
59631.395259335,13.696477153696813,13.823906942327143,14.037615652302112,15.01787792683093,14.450558862940584,13.265277075382818,13.858515149722923,12.93005333692084,13.477215669538001,13.5253774887712,14.207571938553915,14.793786466209724,12.19991766080519,13.675906794060264,11.829469086222074,13.435778792321113,14.293388749456362,12.533214243867855,13.628147879646146,13.817931848140761
58169.603741005005,13.727045512647686,13.858704345410741,14.042549649473798,15.00935822519053,14.489687395668225,13.287511182829581,13.836018477626725,12.865128918382672,13.531901152570995,13.541192847829455,14.198270655362036,14.564107750877367,11.773949919027379,13.710806583869276,11.308743922771358,13.390637161388,14.290509517113746,12.514748352071456,13.705533357793476,13.788940067702303
56710.715461454995,13.725510965140847,13.852988117018944,14.025287123250665,14.94112442444107,14.513845818282084,13.268281967404407,13.774367849352506,12.900800821874643,13.502571399729227,13.492133363946436,14.201550506788317,14.67448255809051,12.416371107655165,13.665146970343047,12.10313574140681,13.423721719971047,14.26895842188475,12.50532488504004,13.69333413163444,13.822171831894925
