time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13
57071.290557495,497.63040801136225,183.74042393926624,13365.52221057529,83879.3593431403,12477.929761992737,9834.596125939303,11713.665190469288,-883.5610862173669,149486.81724538343,153455.8918453532,103.56560670290267,82.98946986917663,274.944248232097,103.67381552941778
59629.641367365,501.82496138944026,185.6431948229418,11301.004061606762,101345.46537875534,12190.534939235326,10809.160203725434,13801.78151487112,-1345.7493598044346,155814.30248585017,157781.55336928208,104.56723257123959,76.34027098795833,279.7513541394385,101.21045091945393
58329.296882375,464.69178482827425,176.51780973844063,13746.179799673335,87019.07558285123,13900.926861624517,8337.448478535978,13384.736073917335,-783.9425622727264,154280.25961103928,158614.90421348935,98.15465504197529,72.58412205663097,273.5918250522613,113.19483354481788
57246.537063785,484.38796620590216,170.76734892556638,13974.439994734807,94193.47636708591,14732.974138319885,8824.721711207496,13413.017167752907,-826.4017508647019,149431.40417161616,155196.63887987126,87.51419317137635,75.85792045594238,272.2850368091485,98.04288399971301
56887.763156805,486.71235582663843,172.50541068807368,11787.13536357852,84798.6234772053,16291.492621173604,10392.93831605172,13564.221844504125,-972.6083645884078,142752.1915134754,148827.9471625617,97.63085307504632,86.47283106396179,278.3702416331472,104.41154994582485
59424.736307144994,468.1056265170718,173.58092216099348,11259.31321705913,100756.11629429627,11381.273846880342,11934.449637446376,11695.080652668325,-1335.8774233298484,151729.53488739757,155075.08430457202,95.24027335700494,68.7870823178125,245.8752927131162,87.27852498544631
58530.892808645,488.0873840464195,172.68252768150063,12690.68439720316,99488.20559160697,12932.280187192431,9337.90698999451,14391.502364851336,-985.3093534894967,152915.8054380483,155870.0554863505,101.8659366831902,72.02530027673916,285.40034636325163,94.97073500944292
57435.394384705,493.1845438575356,186.63596400070693,12479.493241195432,93098.87772237867,15361.747154977498,8555.459938065034,11897.130969231439,-774.7190310054799,149154.60525126365,152648.98758253784,96.09515789674252,78.33827109945892,302.87550656684544,104.28767428045253
57608.12831833,484.08742849837296,180.1788543047513,12354.299308638274,92594.24937557286,14763.511378523608,8374.247258670835,13208.403164677347,-746.790397333196,152450.9081077454,158084.3119797792,75.35832378017321,75.54360412043428,269.311418069026,91.98278701146855
58693.594632995,479.50089193597233,166.4288646983905,12008.37390787207,93689.30088226777,11629.784215132337,9371.518174066703,14008.999488328767,-1031.149355169525,153783.89295777932,157679.39880807395,92.90282578432947,78.3747202661651,271.7861084095214,101.7080439128092
59262.03915601999,497.1217179192064,186.25212698130318,11915.60090478246,96088.44610387029,10482.917485700438,10168.986936371635,12164.26066716424,-1047.8756374456354,147549.76134040926,149152.86908771523,102.28069629054237,76.52820030517049,293.5639657347692,101.54773587441099
56707.991578205,491.15100140031967,187.60517154117431,11130.083002568641,91136.45724723533,12410.012615705422,10062.041751357949,13099.843087286787,-897.0900547596032,146316.55743678438,149971.86082792658,94.41141214823449,85.9957066711105,284.23962311715525,96.25859724107323
58166.733521895,465.50811130749344,180.31081669889255,13611.915951136945,95930.66337096805,14503.229573464678,8245.091608675173,13671.109894237969,-795.2468744532906,144144.07430098695,146491.84223634636,107.02733530205137,78.21596030448785,282.1874559172774,91.64933465710736
57801.156791705,499.80379140046625,175.83578771726843,14677.023354191384,93450.02682763968,17577.6706651447,8605.280506584815,14049.532559596484,-801.8901502970155,152476.29631948157,155020.8653458932,103.73871321704013,83.63667792187698,272.6055775939404,102.03091887527084
58896.627809985,491.4654465978189,173.79292577099756,12424.539799465678,82714.01980358816,15818.80452523458,9359.344956816563,13607.016711545444,-929.1782640670555,151052.5269309493,153728.56723349795,110.74499504725668,77.60816378163285,273.4095237164733,105.9253818110687
57967.343157345,473.3952879530071,174.5902163486924,11664.645842701308,93577.69114133604,13784.312118416954,8403.244597977176,14220.151692506737,-776.0888111633735,154944.59300080803,159963.3060056099,88.40703817229416,78.34576204478148,269.2459705703525,100.43809485530035
59059.079869224995,469.11810469449205,172.7169558166168,11271.194799228919,89895.83037339205,14419.881182694258,9677.911936228318,13725.634810217673,-977.9224821038362,151269.003465973,154804.5371904691,99.71121023142008,82.20386880278976,268.6118273425573,104.26046923121284
55244.62061988001,502.5799858216399,181.82675272036414,13450.675869124461,88635.6143559734,17438.5527538927,10572.743618520799,11373.38700200817,-909.7250779354845,155548.73947850836,160209.5369135222,112.54813466714907,64.28300304582133,305.73522427397825,101.15683389073833
