time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12
57294.103773605,15.97245955190577,14.313276476899434,12.820658953565644,13.55086051219524,12.22233867316943,11.76217240417222,13.884159404601398,10.49200690299856,12.36479743571851,12.508357347279086,14.117011162606703,12.653881511051072,12.997049605042779
58741.22584759,15.937564595061412,14.335107357319488,12.817789992288793,13.555854597473056,11.913863603743533,11.733499143341135,13.834869121004095,10.488810908884874,12.366273600279404,12.484270821721,14.064237977502488,12.665820260351431,12.987399500638519
59672.60199435,15.773670034980698,14.439410044631689,12.825659252197946,13.621283677284824,12.162522294202926,11.777031457538278,13.842333646478055,10.47172145347443,12.333597881305819,12.510091757811999,14.211185368411998,12.670455662757801,12.897322840115779
57480.215304055004,15.729327425213484,14.364710393054919,12.815496095295531,13.615527889135116,12.232989650854355,11.760270284083692,13.85386325134198,10.487016521309052,12.363982293341133,12.505767949748831,14.130769923276826,12.66298161598983,12.94250770006266
58577.138254699996,15.667018769988097,14.338032371420914,12.800041208367352,13.572121106866021,11.860828204997455,11.735480670338747,13.806812335829521,10.48886281233118,12.37027231193889,12.52350148038794,14.201533637015503,12.662564807698303,12.945430812376271
57114.55702826,15.669742631864553,14.303165832934164,12.811716817281,13.570291039767694,12.268067335967347,11.77995368729921,13.859301231798645,10.471614453073592,12.36832612265128,12.506878599318641,14.148805692507763,12.639697100434843,12.909609839025226
57653.012909954996,15.715775924235814,14.298726160184634,12.813402829650231,13.586446979258127,12.081907441284047,11.726340314020785,13.881539452620112,10.476140970612326,12.351772017791047,12.50432608609868,14.102979421304811,12.656105378803675,12.96259985948045
59306.874808885,15.676368979935775,14.336015810935024,12.810072762519544,13.605273859918572,12.068588203398807,11.758880477857998,13.83624164264726,10.494150206330241,12.354253306328108,12.502953986614573,14.207118608819554,12.661078050028346,12.960707479947137
57845.808485745,15.676278887288296,14.36133296886994,12.807499932553595,13.545308147287043,12.193627967444739,11.820292460670629,13.848380924265564,10.481509125691575,12.354702849602814,12.508045490104761,14.216710704437348,12.670663748819585,12.938826769070658
56933.682752685,15.766690466261664,14.457576588774044,12.790529214389244,13.578656750786799,12.370046515449685,11.788351733029593,13.822660484915794,10.478505441556122,12.349136686505659,12.500389774954828,14.062963228849561,12.651513276054354,13.013719737120999
59105.45358946,15.700989581248779,14.341953663379574,12.811903627128476,13.617631556628561,12.113602955913393,11.78110155724131,13.825226291968916,10.503156170901827,12.35147470480231,12.521916068677625,14.090438272164889,12.664784232864186,12.988989516955959
58376.68303049,15.892939238423116,14.36159016924745,12.813001666660071,13.568710408840992,11.874800614214761,11.726387930741511,13.796449016584138,10.487426714292804,12.341388952408542,12.496818480412532,14.05718056279135,12.65441888575606,12.976938390673737
58013.508151265,16.086094173220136,14.39690396040583,12.823379667415674,13.605901541190123,12.153689174994238,11.782062209314086,13.806124250044775,10.487526697707283,12.377767269094745,12.52889536736948,14.11641863489272,12.655867791324528,12.992316777515578
59471.017271054996,15.744301619062993,14.346803974260736,12.794526012579833,13.568255315146386,12.148248150377103,11.736706426405597,13.860103533044777,10.483359864906474,12.346848179072984,12.517234785609451,14.166727672794776,12.658435668324909,12.969685825167229
58941.353506390005,15.616487817044357,14.32065772864196,12.864061848946966,13.624584102951502,12.12102213054994,11.712854579040426,13.812381875826926,10.494421172098209,12.340212146812943,12.5011662661669,14.191366761453644,12.674959120435107,12.945538425963361
58212.831853255,15.79891253950718,14.397581292752335,12.826002350390924,13.56346343201207,11.986837920105447,11.795053142174005,13.80705976779238,10.48277047565864,12.378193432424325,12.527471846059155,14.160406395043202,12.65137957617956,12.919989973691651
55289.998415295,16.007175265993606,14.327630657640881,12.80380263533302,13.569161486554322,12.310932249551543,11.691247011302677,13.878502029113408,10.488613734077349,12.37764709195319,12.522785702410587,14.141670853456871,12.65644410923403,12.922042407614972
