obj_names
CB17
CB68
CepheusE
HH111MMS
HH46_47
IRAS03292+3039
IRAS04169+2702
IRAS04325+2402
IRAS05329-0505
IRAS11072-7727
IRAS16253-2429
L1152
L1165
L1251B
L1448IRS2
L1448-mm
L1521F
L1551IRS5
L1616MMS1A
L483
L778
Serpens1
