time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4
58873.039072315005,11.904470915093238,13.229347075283354,12.714756831835489,13.36462840228911,13.710755091170626
56892.673826575,13.379970922582494,13.02153137474692,12.471279561422932,13.364966861581962,13.757774811920331
57420.864491895,13.173967333415282,13.05066959297517,12.633801489750761,13.33705007806048,13.658060705107504
59081.291126025,12.265115449823211,13.135141042187106,12.645526866858107,13.306161816482733,13.640909387392021
57061.329406755,13.450235170109194,13.015723854643346,12.442722699827806,13.289755025406373,13.60222019060809
58716.172516445,11.826968227468987,13.208670027650111,12.902019872411858,13.318563737535719,13.683697484994498
59240.09422423,12.04391380142446,13.170639799458902,12.5452610915679,13.373501609454511,13.73554607629463
57254.582917025,13.313192994303376,13.019755998013009,12.513615159991264,13.359082779816932,13.692140545035949
57786.738702545,12.94500562709317,13.044201369847253,12.738976999743299,13.324008581099855,13.612203756063652
59445.431297610005,12.030114610125443,13.096975694157928,12.831752783742532,13.343564528538467,13.704534057107631
57985.782748415004,12.332962997293953,13.104551904590966,12.600909185478658,13.347655422826714,13.709340696350685
58508.866233149995,11.865536899577478,13.186011171215103,12.795699604874882,13.358198367035394,13.686705936317958
55237.431567865,12.260812960245193,12.977847010547158,12.342442793301698,13.371073162170754,13.728985512848766
59604.385378125,12.211122677597817,13.088360363775573,12.808717845278109,13.353716772315856,13.732379300923338
57621.63377437,13.10644787406124,13.06662141700459,12.772919113756922,13.347712092250546,13.678271769370765
56702.250995744995,13.367453042608956,12.989347156739955,12.66316311072716,13.338317168073305,13.678372724122566
58143.323827855,12.395073458120521,13.086805268121688,12.625161733757375,13.399362822724084,13.736828873803736
58349.88702352,12.144917556004307,13.133826811328097,12.725958651754071,13.369722158315025,13.740077958664061
