time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4
57633.00289269,572.4691619368087,749.2939983428506,23705.562173494694,451.74137228287725,498.81206951940453
58728.440880225,565.7148176834908,744.0628111835707,22904.53245375752,457.1701836556315,516.0020435133306
58155.429709765,586.843162292891,726.3869573686518,23695.34925494675,432.07921808994075,503.7309370734616
59251.01021479,585.7851510041968,708.192876396324,21165.308220439896,449.3411545083707,491.51160703808733
56713.182187275,582.1697372992177,725.4904922804373,23100.493840697047,447.31700930932965,513.1996078740358
58886.836661320005,570.5818993843316,713.7026948058348,22160.715408664364,449.240978159997,504.56884979362303
57798.360631895004,581.0859140247048,736.0987201687242,23601.776588494336,448.63528137273624,498.1221743607309
55249.86795648,589.0426819158749,763.9566223717919,23942.226438389396,455.13128797245815,490.41467229650124
57997.177193485,579.0650489003915,765.4950272420995,22172.52430966678,448.05336168099046,507.38127719493235
59092.67193333,579.6771949521494,759.4927895136918,21968.372500860678,460.8000805008926,493.56212530664783
59617.675589795006,578.1277265346149,721.215540357702,22006.97415270316,456.1627582109685,504.27428883860784
57075.448465315,592.1289850485176,723.8509161192737,24201.267679811473,448.6177585810118,504.2777930299486
57267.9348364,578.2013574507145,749.5738063056515,22829.510752415037,456.8994337850626,489.0644621108462
58362.91182606,576.1213674227558,741.0888604174743,22757.97590598104,446.2728618736296,494.5640841198498
56904.121962705,580.9959609997333,733.8830065494861,23052.058618150615,446.0616031630591,490.5931583493317
59459.812630825,606.4422333246398,724.9942599813949,21650.853937408297,462.21941822295196,504.97559741989204
58519.724866235,582.9577739214592,735.5519449109653,22238.176075988777,430.2263234111002,511.1076583926173
57432.726773095,580.7323589213157,728.1676799850297,22401.39587931671,461.0404410447614,505.41819820778693
