time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7
58878.173279430004,14.207260689337529,13.598855046520164,13.662327163430561,12.30023981090926,13.78281966937621,14.16252214251008,11.183316601795191,12.832842874823585
57787.2953633,14.180973095053654,13.697120418955487,13.64090461159713,12.268009228666335,13.708544569601068,14.398816551590697,11.166805115564296,12.828673870140934
57986.961259665,14.27435469002877,13.63396635479789,13.787182811202905,12.33440708051807,13.877345146376596,14.147180575024906,11.193519663812062,12.781108264550857
55238.688712215,14.264660518795186,13.578710802417659,13.804452912268063,12.279804851980558,13.6999509365251,14.113602709783514,11.160270314804988,13.00897562955652
59082.468235855005,14.34346336599356,13.730427986222393,13.712184772589588,12.370059720574284,13.661225699642754,14.238933319341557,11.185072846128035,12.79613887558281
58716.859376335,14.46924002281491,13.643245741888402,13.720419247363148,12.266592800031034,13.737573348919293,14.386929641612024,11.163514532886916,12.777297431970178
57622.25620032,14.20470143635397,13.57139069428111,13.734072740851973,12.301352032937784,13.765948892588057,14.26087238443225,11.183063915981796,12.859320820799532
56703.238883455,14.181629755473462,13.582749574777523,13.677927947934899,12.32275814440643,13.754891412802323,14.189701180636451,11.176340440103344,12.924835803500153
59241.27101878,14.242009113349683,13.586675773434441,13.7376641642185,12.310167982212326,13.811639299194422,14.295763665936756,11.175808012950906,12.862624808622042
58144.305607179995,14.078751014855905,13.691883908620513,13.617809556174509,12.312939579521712,13.826725232919978,14.136800109390213,11.181959776348581,12.871514373185171
59446.60770735,14.292804311960515,13.824527509135693,13.801003974425115,12.407114115430991,13.851590753310555,14.378451941992564,11.195398442170168,12.805521156708584
56893.85787964999,14.158145490586353,13.692526694114186,13.658830505132274,12.305842436953975,13.708848658107174,14.077327011039907,11.150905129474339,12.853866945169875
57421.847798949995,14.16967297698705,13.721219947005258,13.661429215492776,12.284827492605896,13.851083204355932,14.2366794623643,11.181525393469393,12.91412014433296
58509.913079365,14.063479107202129,13.704973344209996,13.635882987209255,12.309803924971888,13.805166863156037,14.130854610358856,11.183035360292953,12.835754612557388
59605.430692965005,14.17841402692387,13.68994162880331,13.63478546197604,12.290435433449643,13.72351776104997,14.275850250577403,11.197754517288976,12.81131040455205
57062.446034815,14.127817232091616,13.588832247607614,13.62470750419344,12.284542744031294,13.788222783000855,14.337261572293084,11.158397172447073,12.899139765194732
57255.69814601,14.148708709370746,13.71711879324355,13.659095808056753,12.31445055019619,13.720484969059614,14.237224077040008,11.17805481498584,12.827748594883174
58351.13008617,14.362366431132699,13.592319515914534,13.750067640094516,12.343753484902217,13.80576934658967,14.262542898813123,11.195799456594234,12.847182963175303
