time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20,aperture:21,aperture:22,aperture:23,aperture:24,aperture:25,aperture:26,aperture:27,aperture:28,aperture:29,aperture:30,aperture:31,aperture:32,aperture:33,aperture:34,aperture:35,aperture:36,aperture:37,aperture:38,aperture:39,aperture:40,aperture:41,aperture:42,aperture:43,aperture:44
58735.083964535,4877.770197077289,9303.807170165866,128.9228068061135,352.3223157776579,115878.1771765202,177652.89426020632,-6666.604323014944,-127.63292253005079,154679.07036089158,-336.03805955154303,2395.694993373313,-1084.807217061316,304.57628902774115,-1774.8820516106482,245.6530222986796,5459.94441899033,601.0926059989713,34742.415877958316,549.3027182626639,301.59945614065407,12.52193956077717,363.1529843193381,-55.9976854668181,331.10655928676175,7895.266562477195,2088.4801801147605,1414.2159784846053,115.0220171349003,395.517103315366,914.9418473632045,-36.6107010044513,-8.248477271789227,878.7784544780925,1431.6155036705316,1698.117883827468,294.26302967984986,2620.224508491739,19253.36163583374,3.0039523193395326,-699.5262217857558,27785.558880715973,-1298.9524781770865,111.19608604991856,7.20504871703411,50.31071161536961
57841.348704345,4822.352993543509,12649.53900543047,90.5973638910744,337.34886529067455,103884.03700634663,158340.24402243036,-2797.595104163869,-141.01235374784517,139495.27025958546,-357.4055258525713,2425.7125441975254,68.73479666774983,290.9541355163956,-1806.6214614027385,219.23545087522382,7230.073656776344,607.2457207077205,23521.808177326395,577.0161315979808,334.6680645622208,0.051101425064715045,349.6118066651373,-22.625080506567656,259.66771721550197,7964.764730730252,1887.764835690631,1475.6382843796569,140.24482609937553,379.06655067866467,910.7712916098114,-18.85332066307177,16.312484362060587,919.136001902034,1512.8987003199434,1748.8342270644976,307.9318728058035,2572.1614474663816,19720.838619989456,3.3889489373841855,-668.503553165589,37180.594057417424,-1761.9265088654738,100.50248932679116,11.790359268124064,42.32957993728655
55287.54359556,5151.844721983397,8936.904184336214,113.99069672911264,348.2265745102408,130703.4667757722,188582.680202808,-5810.738797691141,-149.66528892501583,164676.10194686617,-430.8035037927118,2518.884988270606,195.5604511099118,313.0473573872172,-2181.7403664250833,242.44851809244088,-3032.225787102976,603.5707056264797,95831.66203659012,589.4938148430456,334.84689789147353,23.38097724614117,360.4066593688111,-76.90974689283746,217.50656672083687,8229.87446905292,2254.0747837004537,1496.4856824015974,183.3703217170089,416.01439313971633,937.5590195829518,-35.787807752949675,-3.9502533994100872,905.9762949681051,1609.6730636497102,1840.4101052051433,314.92137819520667,2672.800771582145,20306.452634876816,10.711426138956355,-620.5681049414281,45668.31990650916,-2109.7866936628366,109.67263816180298,-6.413789790307959,36.586531661329076
58009.06335422,5000.080914461756,12960.302667191778,130.09444729809044,369.769018892577,102461.64348039543,156693.16593732097,-2616.4252218780894,-121.36420091571813,136299.59660213452,-338.8621776198305,2368.9289131897813,108.87219865114457,303.99532372654176,-1709.3037089304173,230.73914767314963,6120.19139136559,615.9046815245468,46360.955425792126,555.5072275961843,336.9717376993134,-4.020951232984231,366.0079293020239,-54.648369303207005,299.50510166742407,7924.222187333102,2040.7763539648636,1442.4021271815982,110.63940765969693,421.6352718686884,892.5590784309172,-19.923962115016593,3.29703106739359,870.957075733534,1535.9031212937862,1740.5811612856824,278.38572497775283,2637.707449660497,19599.27918979864,21.229975989745498,-697.4370912458807,32322.638211630103,-1555.7844214294878,106.02575572883339,-3.6569883100313163,33.01574615054593
59304.38388685,4884.815460257118,10080.765314569626,104.70596871808115,347.64998451175165,117950.48371961313,180137.98813300667,591.2789169815005,-113.2208715304696,158801.70764826395,-341.29294862292284,2347.4742112160257,-50.07554327459911,280.7507460498145,-2156.6551148658505,247.09157178650798,8328.674784729343,583.4016529013417,15627.365836839717,560.1337614111121,289.75158652336427,-2.3430563434227025,367.67026825903787,-44.37538590790291,344.29954505119764,7763.498380270065,2009.834469170369,1450.1997189858143,112.83819112339188,398.9578366363901,926.9395867287737,-46.16131516046448,5.004571180397562,921.6484664790307,1488.2664947786002,1735.7463040830742,304.8028785770869,2582.6585078601156,19556.334681778648,22.194472936615526,-745.0635572820515,23898.38248798746,-1095.3563764234193,94.8608639948668,2.060203572674382,43.763834614851554
57648.56523604,4946.329940881047,10977.25274239406,89.64886179692613,330.274076083015,104738.3049584858,167997.3906224709,-4205.464810087309,-112.85503268263835,148522.60350143022,-307.09107872532866,2414.55950131307,-2032.1762611190024,294.3431521520291,-1531.7424845699284,242.8604044603669,7284.610841991993,593.9293486203958,39716.53984013482,590.703161309394,323.5773351992231,7.141908413193491,346.42234755463977,-78.60825408859534,325.1524493603273,7968.937293033238,2069.9649968869344,1464.3639839600562,129.36943782361237,404.0644499293853,930.4653211089276,-48.73847288543607,-1.3407396368459388,877.2981845804584,1461.8136310111913,1760.5151502649949,280.2818980561234,2667.222361982713,19638.21434761997,12.670510821415547,-689.0733074792362,34360.85631305343,-1576.1343230270272,106.3250963631731,-12.589103267115362,57.95726122218544
58936.833962275,4732.837906603865,10807.672446348039,104.51930460983522,335.94246436363636,109590.61771807254,156058.50276579236,-2328.8624939916335,-137.45265882050535,132620.12667474267,-340.23348545622844,2398.037407903885,3551.53843090643,294.9171116230829,-2335.816727821361,219.17673513581727,3596.269480767094,597.8514481301906,62738.138272593635,539.8769916192891,304.3170250328051,21.807826100094232,313.8117978840819,-73.35841558200002,291.8161373291082,7837.035191128219,2108.774696187143,1457.773832450712,146.12353709131253,399.8811332238849,909.1907929719895,-20.426845604747825,-14.498835931633437,903.0642621236389,1513.2244657448448,1695.0270471805015,296.4196664418239,2569.661812932359,19496.10918950177,4.747077858673833,-747.0069692715974,23364.633971795454,-1019.0411469831768,104.06825699190088,-0.5516470311670929,50.52990330441205
58205.462097315,4883.673858080481,11876.169028698117,117.17936764431795,351.1742313749137,113768.90400744314,174809.49262882717,-1791.535803919971,-125.7124360074838,154795.75127408738,-322.1745233197198,2421.0446350943066,-1801.0453725821153,297.27796511189484,-1831.491724593614,220.52595499904658,135.5521282233094,622.9220599237809,87653.97236824673,565.9706327358408,312.4844832562157,34.58814612996643,352.3482097640538,-52.45322907565128,293.5643591658595,7971.314651138122,2157.329355790237,1464.0099798570166,168.77765353761578,432.0908362287719,915.0314720807751,-27.36859455150335,-10.448380906961972,880.8937032198514,1528.3388428545845,1748.0919275236974,292.35014452647545,2637.9337666105193,19628.470331531724,-1.3831761261587587,-717.4212573856084,28161.002599130006,-1298.1829559513958,106.21249482719242,-4.496747140739032,65.38096380616845
59100.88254677,4904.02490039019,10651.256170251821,99.77034968995156,322.93780111986985,107875.62628543739,159487.2254434072,-6238.565125144192,-100.67090364454606,135554.97767357988,-327.34902408861615,2365.353987858431,1787.8286955972562,269.5634883485017,-2068.5273780153457,245.2823136821612,8593.171281307346,586.9816287479338,17376.296024548836,557.5545314757228,307.21267442905446,-9.086212809659031,349.3233551489365,-59.82594970861112,375.6481603153455,7710.786428448047,1921.0700787172561,1422.4683189922457,100.87916795731769,372.81088425376214,890.0162759774407,-47.065047655688886,-11.604382111858143,902.6613924845514,1470.7411090284747,1725.8400030518437,300.09092705459403,2598.673481479259,19355.806275863742,-3.2285860981779564,-650.0387097645626,25196.66930724111,-1153.4687754250658,115.74524725659985,-6.501170517510332,31.95430348276546
56748.11095351,5026.115371465061,13428.221260394497,114.3836604836728,322.78534759514156,95912.81831397643,145841.89481197472,-1290.791577087548,-149.28231031680411,124037.58604496464,-359.8218127361733,2442.4255879531665,1746.6585359496767,301.67266429287207,-2067.823710475868,244.09732282221793,11302.573196276873,607.0077368343508,141040.9497353861,541.8488039913726,333.1747115760615,17.884093059933505,369.19828655580596,-51.78614905069867,252.96353684045386,8003.786976521096,2152.502427035877,1482.9841281557074,205.77794539076154,397.0836632443903,901.9178198456987,-15.213636246055785,-2.468904974973526,881.0417787023971,1559.8166454196275,1777.8806893349215,306.7265927452665,2601.46136181194,19727.116329962468,-1.210919178914068,-631.4667867369989,42289.89042172213,-1963.8319133127734,105.18967360756538,-16.97062940714853,44.29498786300343
