time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5
59241.467119355,10.10252264744961,12.086573991406233,11.477658845164312,11.626925658559353,14.05121195416441,9.330115332746905
57622.321715645,10.079234066918131,12.050560366769385,11.321991055446286,11.634973458035129,14.016553450755877,9.314923238080505
56703.43651195,10.117336240653431,12.048605513450624,11.514406075032253,11.621919066630285,13.974976617638163,9.29966577925194
58144.567414915,10.12149518792482,12.03386138623152,11.377742557268078,11.64084377588062,14.001062550810618,9.302838577965261
58717.05541051,10.093687828944427,12.100545436156416,11.368363764706062,11.688135185363466,13.918463035802622,9.3222753488136
57787.42633104,10.114434034102088,12.102590880424062,11.31795681869011,11.645172409648735,13.870893716866668,9.309040826968936
59082.729596465,10.090167272410566,12.06247416674708,11.50785553358127,11.658562534891857,13.977603019141219,9.332491132946657
57987.15767817,10.092345498961853,12.093925023832822,11.34059740557794,11.677995664874121,13.952030261841385,9.316462263531267
58878.30411931,10.118558621682507,12.064032384315977,11.44607480851771,11.658220310671139,13.872102600819455,9.330795154067145
55238.82101642,10.101319979925432,12.046584799303938,11.259902215623816,11.609372387382061,14.030775081011953,9.285183131684722
57062.57744773,10.111404597063697,12.052100416482379,11.411762682618788,11.625451439012707,13.951679440288272,9.301169688274916
58351.32644099,10.083836633673927,12.087032096218069,11.348411835927473,11.6427619439565,14.145532719927226,9.328149433483123
59605.561341815,10.111960537352376,12.063684423629939,11.395752463539774,11.628435526001907,13.872406335152077,9.324285267078396
57255.960526295,10.094824012045011,12.039545022156881,11.468898490941296,11.667749662611433,13.919982883363287,9.314863795055947
58510.043919215,10.108299128496478,12.095312004596453,11.409097378556632,11.636843005616408,14.042739389854736,9.310463183045359
56893.989419845006,10.089863199378058,12.061617375228119,11.465509648165918,11.61463875206629,14.074449940187888,9.307786020624242
57422.0444731,10.111447932878049,12.107255314540861,11.448570311141635,11.618536356257918,13.970673293125307,9.30342229491963
59446.73848313,10.077642357581821,12.084362740099731,11.468973818222103,11.643697958579573,13.995649663901455,9.334231346969915
