time,aperture:0,aperture:1,aperture:2,aperture:3
59468.640066014996,9690.007368368133,2730.8106537807125,1532.6408308746168,28.74379940976341
57641.982480235,21427.992283658554,3315.12389622297,1529.0123133625673,42.76930541347748
56723.122048735,9815.889654612707,3841.0428732743594,1556.5662575144167,32.70086822731582
58529.73065652,21344.720500805186,2634.705548380992,1552.2184740207056,27.724237023417576
58164.065261845,12738.590675637119,3469.4401678454315,1539.1302515307177,36.47760203531355
57807.00066956,9910.16036880673,3252.006253042244,1523.1656362939473,38.702932711831
59626.651913224996,8201.344424066774,2625.8044022037548,1536.6085618101122,45.02492169353857
58373.124890524996,8958.147308862872,3275.3855966401907,1521.3531775079343,31.374516467604145
58007.525813145,17811.28885392061,3280.093674197265,1540.0983135252764,38.407663995711076
55259.65565112,18950.450278553162,3692.156713394369,1599.383987891173,36.513650093604525
57083.65355571,30132.422516692073,3853.855661675904,1538.996541238171,46.075882752578536
58895.269622110005,10971.237603913485,2686.223039353537,1554.59686574829,42.38329928020574
59103.139799109995,9106.779590090335,2664.4211796726736,1538.569377285045,39.54005673125889
57277.680467494996,11264.061501520584,3342.4073214359983,1567.0333024170259,38.155755305414
58737.2760844,9749.643518588242,2868.870875651827,1500.4613499834034,26.251691669555445
56914.38737522,9781.15758800671,3403.200319787309,1572.5615121605047,38.76609484156285
57442.75103245,10198.116433015486,3054.422089085709,1554.9681378611965,37.934746822475475
59262.77332403,7686.469551003469,2944.019182312847,1575.2418579559942,34.70469946431445
