time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5
59617.675589795006,12.797373610096653,12.928670988245864,13.024156886040448,6.999726810758012,13.2256059632244,13.330772498451443
56904.121962705,12.786412980075674,12.923029900452926,12.924337396683512,6.922136047982893,13.07198460609044,13.232207873293808
57432.726773095,12.769483594387351,12.919788971998035,12.991896106995178,6.945193569037268,13.152148664504322,13.193623845179872
58362.91182606,12.820236809177043,12.918856389090022,13.072055792226253,6.9485331551480565,13.226258387867121,13.23456275702244
59459.812630825,12.803838716123204,12.935400713934866,12.957693829757092,6.994734941112264,13.225162038925449,13.317398989123687
57075.448465315,12.772669536277027,12.929602547076561,12.98789363895076,6.932366359523624,13.197220285944592,13.14583435828966
57267.9348364,12.812107312748322,12.945223235438451,12.931898994150611,6.927169620318533,13.200177421675596,13.13559292831478
58519.724866235,12.799450539027559,12.933863921888063,12.918653860835681,6.957808105137603,13.257114958245237,13.265202473113693
58728.440880225,12.780315705245995,12.879612131853321,13.022716145472973,6.948070716529956,13.158215228204762,13.18677036513123
57798.360631895004,12.806830857363968,12.929090938929468,13.012719949124905,6.912419073526029,13.201428435260768,13.268052192531604
55249.86795648,13.022833937454445,13.133228540133965,12.962390918307014,6.838628621325101,13.103354251298365,13.297880204056975
59251.01021479,12.801281714121696,12.914163319563931,12.963149434026311,7.015228812062365,13.241968162899303,13.305255253841787
57997.177193485,12.841928759209187,12.952921354026099,12.935472805122629,6.9691527398947715,13.134773034004636,13.221869291886852
58886.836661320005,12.800557874222783,12.990481236327495,12.948171791059663,6.994792353946981,13.30971545080146,13.28070360403992
57633.00289269,12.815808035459552,12.939830955401948,12.932116807192477,6.952391370147372,13.170248326840273,13.21382182332206
58155.429709765,12.793253346157803,12.906806288979931,12.962111277211218,6.909591296930365,13.237794697177065,13.263892686021688
56713.182187275,12.773461539146451,12.905279146630008,12.961041626382462,6.943599281471379,13.154958225078891,13.244271770573734
59092.67193333,12.784977541832903,12.936102456820793,12.974588321612279,7.0018479449023685,13.273896577738368,13.341398409923773
