time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20,aperture:21,aperture:22,aperture:23,aperture:24,aperture:25,aperture:26,aperture:27,aperture:28,aperture:29,aperture:30,aperture:31,aperture:32,aperture:33,aperture:34,aperture:35,aperture:36,aperture:37,aperture:38,aperture:39,aperture:40,aperture:41,aperture:42,aperture:43,aperture:44,aperture:45,aperture:46,aperture:47,aperture:48,aperture:49,aperture:50,aperture:51
57863.639331435,48.0334726614187,143.43657546696707,545.5206987353952,742.659252143384,138.03813978752967,243.5097888017504,314.53345869652514,647.3434523082641,1931.2492534040243,78.48591226299635,140.0189023407022,4986.929345888291,1152.144738736701,4663.44566699415,-147.5436130066595,585.5409132856385,927.248360497793,306.8333626310142,32993.75362309034,616.7995935266784,702.1965880342598,857.1091818476343,-486.36032382591395,250.45580806488337,20202.0723346416,740.1336496395267,126.78167732740258,662.1685062830622,1107.6116974024992,177.14074436516484,86.9855001236439,1217.7361966456638,365.1745525840448,1886.5216855034741,386.0527118668376,607.429601123037,413.8061988954403,116.6929568273143,2319.3470734817984,234.97258595085634,360.804253733177,7290.174066725899,610.9252568980507,169.6520539857636,2165.522527368598,2334.9480509268624,182.52557512553574,1162.921339441931,341.9891973987307,9706.152043123373,154.11337497082502,1151.5995855887886
59322.35445102,46.10667830861854,146.78894143004948,532.8190552163815,730.2551238686931,157.9055931910427,242.44254179386013,309.0266156748771,647.7116421720036,1898.8835371762389,86.95506100270273,149.751076883196,4966.9303222410645,1103.6220441499768,4627.067737546973,-147.70044354126554,577.4618317138647,939.7195874114254,312.3574641671645,32459.465229036003,608.1447259606275,723.4941058792181,859.3283847436169,-526.2190754522428,224.55014331717268,20234.716773863074,683.2638283199276,5.257037884801775,423.479689950099,1099.8636460063692,189.8531280903452,100.87074562805816,1208.5678856285513,361.04439973394983,1908.1346267760912,380.5335071552621,607.4520393585572,420.25708312844256,121.94351683221171,2305.5546938511975,225.84997592578515,361.5378751679559,7263.301345111209,669.6685628845469,173.25684717056214,2157.901960945335,2320.9925860025132,180.63277525001465,1113.7587392191376,352.080297311052,9857.49024935701,160.11530196253494,1163.0520961984391
58067.954943464996,47.913560863538834,174.92177851734306,503.3818620618259,737.6232113083566,176.70028872641316,258.3089883045948,306.2697835756681,681.9121130524669,1811.8796932328378,78.0267109021319,272.86843977165836,4992.876554020485,1041.5489831869459,4628.04408258503,-134.4767770420468,583.6047503455554,1031.8923916165688,303.63328729145394,31690.796818571063,604.1026569618847,731.3760728097252,861.472377811651,-451.80359761520526,230.78085091689763,20336.05736087316,654.9349395197962,504.036645496918,646.706772389465,1106.3536296146713,185.8326719292628,90.71160876798328,1155.4550647774913,330.0062315969085,1893.4265894885893,361.0482168743978,601.6491580317321,420.52249053474685,119.83221968460268,2364.29789924511,219.18973736373442,369.2477024312011,7195.080297905155,1113.500419789849,176.54680327631033,2173.3328708090144,2359.469716437011,191.317673349444,1183.5599317170147,308.9878706479602,9742.587911547775,131.6618110089376,1143.8881497628615
58797.855149055,51.19527644822412,171.91125932330772,510.91802322901555,735.7369655402666,171.22199635690149,236.6864672131579,297.9765845458189,682.6054190045322,1836.2429782492873,75.20164586361028,303.9373073017348,5047.0640315107175,1030.2321894592064,4637.280788378805,-134.61514191704407,587.9954754903563,1012.3924301456536,300.87180161395156,31577.25754201167,596.5535539448392,733.2828988599314,842.4318216363306,-355.4814453067343,223.59429612652173,20083.280544685553,683.1453990296644,637.8276639205856,541.0833501102938,1095.239979122659,179.9556941747744,102.03814053568465,1157.7936022751664,345.47776150572486,1927.4580264323952,373.80591175899383,604.0085272258311,392.95162473931117,121.00928995732943,2372.1073202955054,216.64649186884188,381.5069804831104,7162.450806539073,1150.8508115623572,171.82520646690617,2182.742843697284,2336.3350183393595,184.27898404275118,1187.786657386104,295.17423036491255,9729.46226492075,114.79472020149205,1122.6408070732662
55320.252603425004,52.40085653064682,154.54672189487246,522.2336114733844,755.2304723059574,168.23030617826961,222.4787274823437,305.8259380634074,674.8629081561136,1886.7433829405318,78.78919525407451,210.7967397627317,5058.556187507689,1107.969774858058,4687.271407141302,-161.7245019796398,580.0654411638056,997.3004603959855,301.4228363888265,33101.8998610719,593.2162581551174,736.4065034182897,857.8581525496325,-351.5730592057489,234.701595706841,20257.349319314726,716.6242912654138,277.0510727728879,913.2278266370422,1101.6757812217313,179.22212320320818,76.61069073523089,1230.3362675548374,340.1353071639819,1959.0622668457745,369.82354685857706,605.1131099865811,414.2026840272674,107.95769412150159,2400.5578431671825,230.86244050788508,356.25547949673114,7475.483215194696,872.0943067666533,153.28577079712431,2188.461583984824,2379.587081038772,206.765565081261,1150.4915846619606,327.54318818134396,9720.695743745893,162.1052274970856,1150.6500434121526
57702.384182115,50.82082055660081,172.4301182937923,502.9756249378241,738.1927625282768,192.32469746736678,248.13817295405605,304.163174947603,671.868159237554,1804.5522550626206,75.0596170001595,307.35389386994325,4996.026095181485,1019.9837719204301,4633.66833494083,-128.98449965715912,588.9691043901231,1035.6991602220087,301.71805281290665,31847.53984306313,606.5064660242423,739.4369384482898,856.5153085817217,-385.7151290345768,239.38214715322465,20244.890872881413,650.104682089749,508.46813022967854,654.2471230975017,1096.2985763357644,184.13849968568695,73.50978940546867,1163.632831718823,344.82197311224985,1905.6091548985494,366.3499414853545,608.7311440741543,400.0456480244553,123.3310801585333,2381.270381218637,221.96240880839423,365.8741187292707,7342.777910935687,1143.049856120032,170.79742991401977,2184.849425538138,2343.565953352413,191.66974312365383,1167.7477364311603,302.22467335524084,9730.28316604278,131.99320698936322,1129.1407033889946
59163.502134285,44.84047054677757,172.29564202129288,501.08491758471405,722.9975692965521,158.5301683239198,241.022779654215,313.7379057403766,650.9643777181218,1839.1670800209945,81.21420402070865,275.86385055378537,4980.941950220596,993.4743118313745,4606.55987347661,-131.83224584186686,579.4643302924601,1017.2398868878518,302.69993465137975,31188.070964609342,605.1183700311819,735.972947677142,829.6599256925613,-457.72898262481925,245.449293631692,20086.595302573074,641.3275316528947,374.48735378248375,469.98998451297257,1110.2678288669686,169.6635367618798,94.36309142340846,1159.3864203920107,341.18917940019065,1923.402749245088,362.8692755564665,599.0182681548145,406.3663882403466,116.07913609713634,2345.232348810106,221.4078970434274,364.0656602135002,7107.908118204713,1131.6335168040391,162.94454215867358,2167.0810636230117,2355.5397119620447,193.57772393514253,1192.5950755430338,287.5848857373506,9738.530242455427,137.56661773690877,1131.523410075961
58955.23817913,44.47683304983758,137.80685023807945,546.0491744247669,747.3312546713817,135.92697566286623,228.6613465370395,316.2545795871633,647.8274500110255,1910.597943168188,75.33506005429098,153.35570849558485,4979.438430879885,1128.9498908293958,4620.35681592306,-156.26606113287775,593.3918056539873,950.6228367624796,312.27277859745067,32535.039066816826,613.6376677580048,723.8756526327195,855.0688690061093,-484.39984052809183,231.54932391955384,20127.505407833236,648.1045984142547,-8.356205392923584,468.15446050205924,1097.7265481971283,176.49855586556328,101.98439353654501,1206.1364481911153,356.4681755194264,1883.7804076714735,384.6741658258481,602.274966121074,402.70497922453023,113.11993638275729,2343.821283083353,216.10520535442984,355.96092250622416,7202.410321364107,731.9154074748928,172.64057317789536,2157.9744592220554,2329.162706363602,195.76839810879903,1150.8605644368326,373.6293082433978,9797.721020524812,150.80190254050854,1128.4173238491828
56783.87967008,55.778557516884064,147.99048904425763,549.0288189483697,736.8051026034808,144.12260341896842,248.95350784423243,320.2342363359064,647.4275502394628,1942.795949603897,81.69118901242516,116.48015170009398,5043.4455076366985,1153.3071402074754,4677.182450406941,-156.80592188071049,592.4618159750196,943.1512921632393,303.5708929830786,33565.64480334728,619.2927281027719,745.6705408786447,861.0251283064994,-481.80908862641013,232.97402186456475,20347.57867437596,721.191935414285,-8.162546853116964,796.0527753135581,1120.3881061059756,193.40400987766606,92.2661797045682,1222.929721741003,362.48903651809997,1928.655824033973,377.41545139399955,607.5009132787051,426.93055256987253,124.92943156481144,2431.838995672167,229.34853174776512,372.49723032450146,7474.138325776738,662.2783180111608,169.64652749891152,2219.726375154142,2387.4357686067315,204.4092208532236,1145.4964895978414,353.6608792388697,9889.447775665323,165.11355879640695,1155.7768271569144
58227.904225095,33.62740538627946,146.09767634247186,553.3528761408743,731.216163943732,147.5467782188501,241.61933838795824,323.05855808914396,657.7329764899421,1902.9363636603287,83.86241606615428,136.8830270975111,4939.344211165713,1154.3292353516576,4615.665470467861,-147.79176863294208,582.8995285318786,937.6349571682761,319.97040229980996,33138.297266234185,618.6366465151458,707.535760873463,859.0575434482342,-499.105335907323,242.65118332178474,20249.078734704188,714.6105335631438,32.03329076051841,633.6148628004869,1102.8082599516129,180.4340071744437,98.45169941152434,1215.5367491243096,354.4511373401032,1899.6737958478393,373.3459992548144,615.7395014611708,429.1191332991833,125.2456095312653,2348.386482310787,222.1152233424035,373.0596930734481,7233.874683162438,639.5354765333809,158.9460048747473,2166.833996148233,2356.8911997840387,212.46518974061485,1163.5544876869178,351.5112571027165,9780.82033608016,140.0897853832949,1148.2190630277898
