time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20
58698.66401136,13.063243430184528,14.131146495950638,12.576147631371219,9.732587017240366,10.135921000603968,19.22,15.243498962164505,19.22,6.278741885993099,19.22,13.190988611018188,19.22,11.480189211542227,19.22,14.005542680535443,13.947749892318178,13.93253029596447,5.757679959436463,6.00744253577606,14.876664292779878,19.22
57968.259734495005,13.02684643099838,14.080644971268343,12.557295853644861,9.717933200278281,10.12323045501105,19.22,15.196592350756502,19.22,6.281705370487164,19.22,13.204351767262258,19.22,11.436008656692922,19.22,14.181126624930714,14.096203937215924,13.907226654912643,5.76542936543403,5.92252196024917,14.908878611308205,19.22
55245.34842005,13.124220823881968,14.040546683969266,12.563308067450366,9.680709023634233,10.076954314570209,19.22,19.22,19.22,6.114518896510952,19.22,13.181508934965324,19.22,11.359949488174909,19.22,14.179974272649737,13.95897394066357,13.856047261401995,5.839944518509072,5.915242451350099,14.654592584272338,19.22
57801.811629995,13.005530213541212,14.017950153311018,12.587894224309514,9.711099418555198,10.11098340803508,19.22,16.47732575622088,19.22,6.262614615554727,19.22,13.126204360663086,19.22,11.410530739990056,19.22,14.153603354821344,13.929658000002236,13.951939558456164,5.96858332083396,6.076076701287104,14.589298408493423,19.22
59262.823686100004,12.989300846532055,14.021612013281965,12.611765281136257,9.73165317732109,10.114512393327486,19.22,15.52088214187867,19.22,6.344639765388188,19.22,13.195761590907306,19.22,11.483054636298723,19.22,14.20437253739692,14.012865376365959,13.923281919309384,5.682855990308904,5.7839399456342155,14.679608907384319,19.22
56708.74904782,12.980330721905075,14.021084895615141,12.543119649459532,9.720730901836204,10.091948360796945,19.22,16.79063638604705,19.22,6.250273132855178,19.22,13.178539555130756,19.22,11.41208871126595,19.22,14.101884459345042,14.058920190198062,14.037575577398133,6.112100148691991,6.17976046691813,14.55226108374372,19.22
58897.28188215,13.001067020957061,14.097359117999057,12.572600154070914,9.723236140695137,10.114661658060053,19.22,15.991969074597035,19.22,6.296299589608055,19.22,13.233722843823955,19.22,11.453537517995114,19.22,14.135690476258882,13.868218486260394,13.94182189715364,5.827102065557503,5.946883698548249,14.570213068564415,19.22
58167.453496154994,13.024201447656761,14.007564611888464,12.553816766288518,9.720078722986452,10.106055953857394,19.22,15.361011425455839,19.22,6.229230482816287,19.22,13.231875313870018,19.22,11.419061804390997,19.22,14.235988176463463,14.100104431163397,13.938351387505374,6.269858823043845,6.558562351755149,14.764776922330782,19.22
59059.86452416,13.086631143513797,14.024191983535793,12.612064744100742,9.739136220171517,10.140714340096528,19.22,15.229724955553788,19.22,6.328574845363078,19.22,13.24537965329227,19.22,11.484997094754252,19.22,14.228659936687103,13.87240023141072,13.925821489673064,5.747981133860567,5.948044436855867,14.83526566902054,19.22
57608.652377214996,13.004980898039998,14.030661009060294,12.565184289584659,9.721631868343891,10.105470952516665,19.22,14.94709288663851,19.22,6.250936877536904,19.22,13.228779510507676,19.22,11.426984196141829,19.22,13.970578822346916,13.878272014958512,14.04961481021678,5.9159039588908415,6.019926056699961,14.75303449545891,19.22
57436.18095401,12.989314996706318,13.99821941990713,12.593916082697215,9.714030838549501,10.094209307019637,19.22,16.06734570059375,19.22,6.293741732471546,19.22,13.210411908763332,19.22,11.42546496807012,19.22,14.128343172833087,13.971486694906154,13.97883951643876,6.186761000029009,6.252194474918757,14.652310114293948,19.22
59630.06591273,13.016558954456524,14.029457656184169,12.5932367406109,9.723192245661973,10.110249466600942,19.22,15.552968054747481,19.22,6.285596342474556,19.22,13.180474092194748,19.22,11.464865415209431,19.22,14.050733963205296,13.900248213833951,14.036962534517036,5.780605392351739,5.913001883742447,14.68031668440153,19.22
58330.40930514,13.08168284646923,14.126006926776673,12.57266804144844,9.732131083872217,10.13504010873711,19.22,14.906405387354235,19.22,6.276808731449758,19.22,13.253491077619286,19.22,11.428121493862838,19.22,14.193330582803428,13.942114866971274,13.985840719002875,5.87364165247926,6.002132934173599,14.71825307423437,19.22
56888.486754690006,13.03381992885819,13.992882722506192,12.554406179764309,9.719448766450913,10.099333834764069,19.22,15.143506868208002,19.22,6.295624595612099,19.22,13.152954534458784,19.22,11.42888601082707,19.22,14.121572068934475,13.864025683981902,13.870516685350905,6.173714151985695,6.260960668547942,14.818166924303208,19.22
59425.65154668,13.035651326872083,14.060899360406024,12.579556299146875,9.752828613699526,10.14761811591243,19.22,14.979895492788039,19.22,6.355940645660675,19.22,13.19025875036055,19.22,11.492379414135149,19.22,14.131266622656034,13.85140718585688,13.908699420435296,5.743687926941004,5.989028883822178,14.808314519664256,19.22
57251.850564385,13.024243087429708,13.978758072169464,12.532244676799541,9.728763098095177,10.102635340632856,19.22,14.815849111260588,19.22,6.286384817644948,19.22,13.219763421473543,19.22,11.442479208336739,19.22,14.193910847583297,13.89514704839425,13.987114738161555,5.935860773409714,6.035983706428543,14.562306781339307,19.22
57072.013073865004,13.007006312714585,13.880071572729838,12.561290068785258,9.70583349994185,10.089120709366574,19.22,16.911435177329285,19.22,6.228049388669615,19.22,13.205871422227087,19.22,11.423924938689096,19.22,14.118829711940299,13.972210778406685,13.932145828315038,6.108534705476491,6.246747376285245,14.807969432612893,19.22
58531.80875248,12.988696250010515,13.969484966775994,12.595176579520999,9.71712347132623,10.116054896522979,19.22,15.953140534668018,19.22,6.272189359973342,19.22,13.182307683046425,19.22,11.468215748293739,19.22,14.16557628898695,13.97198223294237,13.969357474525385,5.738074504424675,5.885878568897573,14.607606717208679,19.22
