time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5
57074.859080925,13.928937498589246,14.530912152354707,13.037394833248229,9.090013793536022,13.089659788130602,11.122207558157383
59091.427716535,13.992094546212252,14.689789492151247,13.024623801004516,9.619310025464179,13.053149906156511,11.161551253602344
58884.22209251,13.886715882611647,14.863309529969634,13.138465351419642,9.637071644590845,13.078722544947682,11.156350356622436
57267.30992417,13.829462031048676,14.453970474480796,12.989829675923593,9.065197976112533,12.97553667992384,11.144337005222761
59249.83488465,13.996523809274606,14.763378822282455,13.02387040454602,9.573662311090391,13.080462210010607,11.160366176327079
56903.002025775,13.962899802311707,14.780500852908911,13.043864797708405,8.951643249534659,12.958429996307853,11.12503137128632
57432.10580707,13.89797324562809,14.509208587368736,13.008632408127054,9.204393329578721,13.07865585597598,11.134828870250598
58727.196280805,14.007929742757257,14.889095934064832,13.07775227965172,9.620801043122142,13.059730744784467,11.157541488504169
58518.54889652,13.91020673212921,14.54435652731002,12.99657626113484,9.451792593911371,13.008555681799402,11.153144555148199
57631.821957575,13.87291543804181,14.50773585523574,13.06163542821803,9.260169248027807,13.0192425344484,11.152343969963862
56711.998263465,13.919664444004432,14.725989014032479,13.043218577233146,9.126718675928231,13.02787160170589,11.138036509695906
59457.130961849994,13.84697141744057,14.432751657405335,13.055503803696604,9.599928680935271,13.078467868916682,11.161757455805917
58154.318742485004,13.883668990379485,14.533643107394445,13.0678878764107,9.437039044050254,13.0185140869492,11.138199398755454
57797.18351507,13.95578669876753,14.699808762283544,13.052980874845824,9.383109827977366,13.102806996668944,11.149209748135696
58361.961312895,13.82797037587867,14.55117500455902,13.055521866516292,9.381767543327783,13.048036716535636,11.164659246331167
59617.02387371,13.877946362014816,14.557163228364987,13.057978836698974,9.591295744789377,13.059260388826829,11.14479240652325
57995.99702644,13.939403856121222,14.595712786825477,13.061881895420216,9.512415389478312,13.050823376144672,11.151491093030499
55248.678683859995,13.960642869603905,14.621455155745169,13.033689425061977,9.274805142929337,13.070012134388476,11.131693902384347
