time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20,aperture:21
55250.0450197,9.235141032326878,14.000013905835626,14.803571961666416,8.866359225162878,13.86252849696987,12.089733943780312,11.89193066487023,19.22,14.194053267290878,13.953017618314512,15.271202215158384,13.99679567293962,13.32784358528133,11.909251393729525,11.4691867905904,13.910515469736373,13.915086544959667,13.876382091352381,14.225253225112565,10.510657230664323,14.060597461406571,14.209621507625728
58335.25298048,8.911211548557358,13.927131317498414,14.922877309925957,8.905050004575541,13.894922939284102,12.086913105907145,11.934488397615583,19.22,14.44326111466574,13.973094379148604,15.004641909841252,14.613453149308159,13.22356489828614,11.955176276667904,11.521092623323385,13.844035216189075,13.927633939852724,13.81991255827027,14.219193654136172,10.553118603622705,14.243858524024896,14.140772502617642
58538.056087285004,8.664019727373605,13.884520112240635,14.643789645856655,8.900110873469165,13.7835014155,12.087741086100332,11.912822349877795,19.22,14.240962063571175,13.92134278968821,14.790630201683557,14.25967351414725,13.358504838352362,11.951525111509111,11.519913185553438,13.900263253097643,13.975879349581147,13.842547361893311,14.255749206711835,10.543892005561029,14.045839591543794,14.275292221036485
58701.44525816,8.562226105023296,13.903660570490052,15.04652857691447,8.909981513297568,13.862949084241677,12.084431485455449,11.917232723606569,19.22,14.51055221996119,13.806352196119208,15.035435246074018,13.991227204652853,13.327305877927634,11.953262158991025,11.523823564937116,13.96046303661517,14.052073003149632,13.79961765063715,14.343546623823855,10.560730543829562,14.298294245352926,14.293574047279234
58903.494452045,8.892555190904343,13.979400347986383,14.638002042418613,8.897497893656999,13.82853467250301,12.100598977524934,11.912965890204132,19.22,14.416562262898283,13.983603739850798,14.97558754949504,13.925899393569141,13.38934656538064,11.935513981760376,11.521018451743638,13.936267521585043,14.088452051918596,13.896691882685987,14.39831276701368,10.534989683007602,14.129847099842893,14.372358623737943
59066.339329944996,9.027279179176148,13.898483894213852,14.936941201821075,8.912082588451039,13.982339954161427,12.102513231293981,11.93134905316611,19.22,14.746761823478844,13.962116309898189,14.710642337602946,13.998876156973202,13.304727716632991,11.96520729597871,11.528073810828472,13.883386282931449,13.986812289808164,13.84100722533769,14.365150414407742,10.572817840901935,14.238355603435766,14.525091711155317
59267.725310755006,9.423083976844502,13.955909337095877,14.640396218905623,8.910891506274181,13.868113982768806,12.087106131389792,11.913226337588496,19.22,14.379025384091507,13.949537935860654,14.953297698334785,13.88374899820384,13.31574731434136,11.915729384497313,11.513714853552186,13.95724878240462,14.230252765519973,13.857042308285953,14.286077907646058,10.558297078400871,14.150593963292554,14.39576872800369
59430.554557985,9.339071682866889,14.012992351706295,15.029203060439785,8.919249193212039,13.89785691772671,12.133521145336863,11.950672581760697,19.22,14.413233932331432,13.944594205828748,15.057083565471862,13.891551143560102,13.267644040422566,11.949323465526495,11.525013692010193,13.735522474794397,14.053100838765657,13.935134754162263,14.391239276513746,10.549712902926,14.232266579597864,14.333642902472343
59633.493728445,9.33177332304723,13.887171495245655,14.635575646818,8.89918124617018,13.807838359224244,12.078075891533858,11.938036268641524,19.22,14.370843260286348,13.893817751820306,14.977582150137447,14.02513781871356,13.37141316391557,11.949506716346637,11.516420289457782,13.878926628030854,14.093278057535423,13.884663292451046,14.260456748031286,10.535330958785451,14.170028220375483,14.256274790189634
56713.029125495,8.908816298732525,13.89231802772566,14.553314414109524,8.88703995710269,13.753265438908313,12.0666553350085,11.93193174905611,19.22,14.506432419733196,13.966099364684021,15.095918834848943,14.62196337586158,13.327194784998394,11.92562621598046,11.50892931751482,13.925094830536516,14.007903710938193,13.859203035046033,14.272638204869983,10.529119189118548,14.02962592390619,14.338319200524593
