time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9
59634.883433435,12.044967321115298,13.075315710870802,13.28352376372006,13.561190780783127,8.64005673917429,13.120551387540122,13.203760429452187,11.566210230959873,13.97643607011682,13.087139151721184
57652.200427435004,12.025836857722572,13.109788001853746,13.299536360003637,13.480355133336262,8.476441910072138,13.181356381915565,13.071884840625584,11.560092671749503,13.838146171982602,13.247695390101583
56733.001045385,12.037229387406862,13.159509380070476,13.33779620472896,13.546865133511279,8.658135536602904,13.225089983709138,13.085352234598586,11.515967210183527,13.97658966937936,13.125660027996725
58173.687882325,12.04144672337455,13.182009395517214,13.369424390222205,13.641667633462017,8.458868269018934,13.156472973702197,13.126221818349947,11.559335382052163,13.897582942172782,13.240431174138253
58381.760566705,12.042221671980178,13.134052490593321,13.238599664746872,13.61388171260703,8.508405615216969,13.146303868938213,13.049032330371547,11.543933847510761,13.985627220411851,13.129800679452378
57816.694435444995,12.024122511236213,13.111186105478843,13.34526361025157,13.511703085489598,8.536758994836905,13.137010890481253,13.037408696457346,11.54276803325105,13.978002224990577,13.083610175480558
59477.134004245,12.059742297914608,13.150817064098023,13.250981214021612,13.637214947489495,8.643541326248526,13.18111726159372,13.22795342020107,11.544210073980892,14.000486005360983,13.200231249179653
58017.54081564,12.055200825191191,13.141777027037028,13.286524121652453,13.513636351732202,8.532371911105605,13.152180733350365,13.077003494541314,11.524038521834484,13.916164186334159,13.1722587421197
58539.34959404,12.041131940936047,13.104713731459919,13.206866810574825,13.520126796313304,8.477720972546543,13.166594875620477,13.159723717957151,11.545158343670902,13.867855259861019,13.152730520484686
55268.19212096,11.998614985106302,13.086219768325648,13.262936019775049,13.59788767451269,8.537660029428915,13.128752945702223,13.038517777643778,11.517309513778953,13.829937511034869,13.173146008696383
57091.995464399995,12.003849538784571,13.132064731553076,13.195747789571701,13.558269183136137,8.603572628336833,13.09222423159464,13.026740695433363,11.52575759027212,13.780646720261572,13.117410038584397
58747.41427019,12.065369823923868,13.11023237737783,13.231344490009423,13.589818985653745,8.398290938040262,13.200225724857052,13.046709691799363,11.544013189244568,13.945149928436864,13.202494894565964
59270.68509317,12.048243376194344,13.181746023201741,13.354402767324087,13.534885240429672,8.586754695965718,13.224459311822512,13.10113851453034,11.511737284010781,14.044879285808774,13.093606163900825
57286.271780985,12.042111537722358,13.147038382265247,13.317774103750446,13.442844404037151,8.600716680493004,13.217183478710423,13.04157015304438,11.532531553018122,14.02780962911954,13.183848773777813
58907.66521988,12.029038500548802,13.134532761061022,13.351972002529061,13.554508957257761,8.309138334202283,13.215146944423138,13.036530758860552,11.54229018773006,13.853005785684681,13.144878608292437
56924.44885754,12.023856671066461,13.075089650891469,13.329398886677183,13.553198743265186,8.590916242137277,13.195821411584042,12.98791687167507,11.536209626868139,13.890620193788022,13.147129413341634
57451.0768575,12.05891575636973,13.157390684790467,13.359576706947665,13.5541031743668,8.626990042474278,13.092952993977367,13.054758150174655,11.527457102868027,14.022103884293228,13.17028097521037
59113.012994405,12.027046486993505,13.13049866462912,13.351000982865196,13.571150861763309,8.42825713428447,13.16343894604962,13.031847363542733,11.53465127580045,14.044584590724329,13.168294795220431
