time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20,aperture:21,aperture:22,aperture:23,aperture:24,aperture:25,aperture:26,aperture:27,aperture:28,aperture:29,aperture:30,aperture:31,aperture:32,aperture:33,aperture:34,aperture:35,aperture:36,aperture:37,aperture:38,aperture:39,aperture:40,aperture:41,aperture:42,aperture:43,aperture:44,aperture:45,aperture:46,aperture:47,aperture:48,aperture:49,aperture:50,aperture:51,aperture:52,aperture:53,aperture:54,aperture:55,aperture:56,aperture:57,aperture:58,aperture:59,aperture:60,aperture:61,aperture:62,aperture:63,aperture:64,aperture:65,aperture:66,aperture:67,aperture:68,aperture:69,aperture:70,aperture:71,aperture:72,aperture:73,aperture:74,aperture:75,aperture:76,aperture:77,aperture:78,aperture:79,aperture:80,aperture:81,aperture:82,aperture:83,aperture:84,aperture:85,aperture:86,aperture:87,aperture:88,aperture:89,aperture:90,aperture:91,aperture:92,aperture:93,aperture:94,aperture:95,aperture:96,aperture:97,aperture:98,aperture:99,aperture:100,aperture:101,aperture:102,aperture:103,aperture:104,aperture:105,aperture:106,aperture:107,aperture:108,aperture:109,aperture:110,aperture:111,aperture:112,aperture:113,aperture:114,aperture:115,aperture:116,aperture:117,aperture:118,aperture:119,aperture:120,aperture:121,aperture:122,aperture:123,aperture:124,aperture:125,aperture:126,aperture:127,aperture:128,aperture:129,aperture:130,aperture:131,aperture:132,aperture:133,aperture:134
59483.313578710004,-2500.503505862994,4679.301563720832,2423.709362122488,2460.0975914346104,5758.123231766353,588.1378936030824,1775.6023301527757,-455.1078781610629,7502.2779013746385,579.1185692371552,-20.79276087586618,-838.0291014897191,-240.70933686013393,54.30978268480936,-1027.9158693378542,9697.633822824235,1893.4592449914899,74.28309314870535,1268.3157037525302,81.17862731826108,29.774470490368117,5455.648542966074,287.62826901035146,75.678651606318,-97.8472735461068,98.12818895324193,253.16611437525248,-832.6667090817384,494.4781943857421,2702.5885836864713,410.53444190601147,-692.6996834935924,152.68012225563507,282.7109081954578,103.4037565717507,-346.100625138072,5014.405671885816,1420.1400551817196,-147.50578055787372,2829.705896737995,-99.28967038146709,3930.470861441599,-770.5493816479584,27.190549439487086,1978.2642717655242,-1227.0404349833693,644.1899325011624,-447.20440928774724,565.3911974898324,2726.9641461247265,999.134921323385,2780.994169908489,4486.910310656689,5678.098489000816,11205.224516500588,1062.5944344488048,-336.88127789060536,-735.3025536425802,740.8721796546611,-382.3074066053306,-1047.1509316912288,328.68176734439203,1011.8192267306235,103.8719802065475,70.91005451871419,342.1510769930577,990.2810509603531,6.829546027727474,645.9252850374054,1626.3778405169844,-388.69069486329573,660.4793324487637,28893.485649596187,1649.668937496549,1711.317161903941,489.5545034721486,-183.61596250433502,54.19811151215001,-41.35125286831476,245.037629862475,1491.2858843361428,1727.9141456942484,-1483.7391699803254,-2663.977068148738,1518.379579650552,86.37791374422113,-337.0443463306673,3811.3948063774606,128.8022263169952,11044.657452153631,-592.1679363881178,149.38958935061927,10670.0120199729,636.1142357448155,1960.4074528985143,30356.138452827847,-3565.406035209058,-286.8374957025892,-514.2521604129204,800.4781549610616,-317.8716284435252,-217.99504005886865,124.03052061051022,1631.6947277094118,534.5689036745497,2648.8938140397377,141.92726686253232,145.7834394662176,125.19307807956358,-1334.3367507888395,3459.1309847735993,62.193932540880496,1906.3640960081889,3272.218260423175,15.645058409025523,-634.2386691750294,-4073.649504525896,250.91649737438183,32.87642571647791,-21.632508640813285,666.4135074395792,3509.418967654641,72.3691740842855,114.74820978704099,25628.096366206784,271.53920766376444,6014.118725751518,6262.460037738518,298.64531524649834,-1348.880401074182,6027.350028597255,183.4180397842218,2.023658936673314,238.27545470296866,366.994385772608
57304.80526161,-2535.7803236760074,4692.228472897075,2455.4754656815644,2454.218454701135,5963.98687422019,611.7465229665727,1814.2391464364218,-415.42982925960655,7512.051155893692,561.2846025709159,40.58892649456402,-810.9991731144123,-216.24000616241062,64.97683830004596,-1027.7109687439574,9884.855406810053,1973.3133641002114,73.85939001546035,1356.6079726498074,84.11532537472272,21.518348366380167,5629.283116085026,322.42879861681956,124.36985272508207,-86.32075219757107,89.33815804835626,250.14605905307423,-834.5216193737195,527.0697117258167,2734.867418362736,436.9789078178767,-697.9541743415317,146.99968291068603,299.28195025891546,121.7619990247162,-348.82876163046944,4984.938178160349,1463.8567733250197,-149.5269916718521,2879.1473687053476,-86.87757314428848,3913.250695679948,-763.0974783380882,36.62041776037779,1945.0792467501676,-1236.3920699669618,620.8671472578026,-453.6711598447889,613.483394086923,2791.461225703422,1020.3744159149217,2832.477210430572,4518.577517718696,5694.258491360019,11251.88050293766,1046.2699962783702,-321.1325078957643,-739.2396902458415,759.775064050915,-380.58067893511964,-1036.8807001412263,339.67176448649013,1047.2171315402109,91.19744998230897,101.8004638129775,348.04016968211795,1015.355828725536,28.38196403361917,637.0199168291504,1605.2588200282678,-378.84277365540765,497.83336236272226,29441.97994741011,1667.221890120427,1714.4893889565187,505.86729256870376,-196.1661192306791,46.482847693963905,-44.14689524141647,259.15373881057155,1471.917027947412,1672.5438802177237,-1513.1489960840481,-2652.370151533739,1535.3642198369243,104.9935684240761,-335.3595389162208,3933.693536349292,157.7671445353341,11035.09377372745,-614.5450157373436,158.55586129869164,10812.108446489352,622.3351237842046,2007.709071204225,30985.933552989936,-3628.110518249049,-274.2994057579833,-508.25372935961923,816.5627240583833,-306.05486909558954,-218.0935091561965,131.97480496505955,1642.7573490755153,545.5688757414603,2700.49940878335,120.84157151567791,164.23399824466168,119.1667289590385,-1352.8281664760466,3477.5554281264685,36.1382830526004,1954.6031915930917,3312.0213070097043,19.339563585955204,-629.1069082419572,-4095.9436261711307,179.15480945802392,21.08147958498205,-92.22128341024472,666.659046265285,3765.205437007051,97.96218274126105,140.4385366510243,25854.157745035987,300.7158639101558,6239.889655241994,6460.121056285513,278.74894060353006,-1356.9971917934006,5981.967447013421,168.88762865463173,-2.745024762299181,246.90784475702372,383.3096365339249
57128.267848004994,-2310.183510833673,4760.316474363601,2508.923223742899,2461.074931720253,5496.314462178979,607.1950804540461,2257.54882316205,-204.10439502215945,7579.512410306492,550.4367754216669,-544.5650024505355,-1054.1185480318948,-134.93504340560605,18.654762839900428,-1214.9221915296112,9876.90247847365,2001.8420209498502,141.36671102173807,668.8102715831324,75.13503109309454,30.71760247835533,5356.048876498551,264.7023425410306,99.10321578456336,-54.277020470287766,114.7629693885778,216.09283350488428,-670.5011822519315,509.51365992699414,3027.393501502416,401.31486726418177,-719.593466745078,185.80788475650178,294.5035176391855,55.97142871932732,-454.589169110335,4979.561417442448,1595.9154351401205,-97.22043195032865,2804.919722819578,-155.34678920762906,4057.0945216019845,-1012.9624094909908,-24.70005219139989,2363.093740871849,-1074.1030255626029,790.9128260366638,-113.3520416108745,549.6143570441666,2847.9970453100395,1049.3422409265345,2834.0367113114535,4470.983685431924,5681.890086990782,11348.881062595041,985.4753548013695,-377.7797972685636,-714.6050302287777,1060.3762290908162,-439.0497374391588,-979.227209756806,257.2841643974284,986.242507638611,52.75297090279673,80.90523060508998,193.8060469050181,937.6510098066815,62.851601011244384,757.231790432586,1657.5612497948432,-350.76462334599626,158.86977077728625,29068.78243955247,-585.8495507997368,1711.574342139092,435.25460727020175,-167.84753422085464,72.68620248914236,-15.95071676310181,261.4566384342386,1366.693627579922,1703.0328724448955,-1122.3333155611767,-2594.3633629146175,1709.9395092175812,88.51783084414029,-269.85948383907703,3839.8319754468607,120.81217160912155,11088.408935617832,-597.7428553950352,158.9763487443065,10835.099399032786,605.6952769593046,2003.8774579118021,30918.029693254204,-2518.387452679888,-442.66347166557955,-384.17325857690577,858.8969220781418,-266.3089295882993,-233.60848023069082,134.95629327046177,1720.2141549137566,554.0542743607583,2778.364154390392,123.07366583102478,178.9512791315135,105.06285688762628,-1307.4102625738178,3576.241771876679,-77.26953256091724,1964.145018793606,3336.707465333888,5.573954462575102,-708.0044485347826,-4280.259788839886,86.59084030771464,57.55327608960272,-166.03836529255614,541.1065577429149,4295.824945647973,136.97962337291298,131.05734801273874,25820.490249402174,309.2978786563451,8794.080948506638,6038.083453956802,270.30361294654494,-1580.0033599465532,6220.551162247454,168.09926968128033,-15.425232139021247,246.23289338232297,388.71537220293817
58587.922003885,-2218.401381578864,4700.495389335852,2482.0851869710805,2454.0567761857596,5281.621898890631,634.2709242409973,2186.1593237625752,-233.44199624148268,7451.710170330389,532.6872064894623,-515.1423684889608,-1033.3770417265468,-148.1897967707106,-14.881220233298365,-1126.0015640816187,9833.311456245247,1996.4452516357321,124.94961989705587,851.8377394198828,99.87403494845046,40.76122013866575,5350.112879369603,283.93579252207894,118.79624837458641,-65.82063763697863,107.93218418814206,219.64997029864296,-658.4149019442315,486.7200037905253,2948.4415566835205,421.49392380058293,-666.1534922345044,167.52797375953082,240.45223996660582,85.97156016591356,-401.9897695681618,4870.200748114411,1595.1772135638616,-94.40532614630837,2769.905191547403,-160.5344790098976,3970.758640248825,-921.3810601510406,-31.244770712137893,2284.136581308704,-1029.3623110256515,795.9954908368506,-142.35919491247444,557.448102642386,2840.616046463844,1070.1443160852423,2804.2282966285975,4452.8086489111965,5662.577674786764,11229.81669127498,973.0197026839809,-423.92722950768484,-678.2377008906993,978.6485848559676,-455.4515006208075,-963.8728519623974,207.49970546677957,931.5933608943806,82.9713374319374,86.52313833859391,163.31142234829554,924.3297785182306,50.487921158419795,720.5916196782244,1635.8684827520283,-350.94357002826877,377.35718705595355,28722.832651957582,-127.55928605910503,1718.4733611192082,388.29381134998334,-198.94386183917004,68.43475237596,8.131185278454495,244.03912841069308,1386.1372133891657,1649.9929609130475,-1061.1899657264157,-2457.5848397566638,1688.926943888646,48.55039941855813,-253.79759061791333,3836.2345673944646,132.49528979094998,10977.561518356419,-571.8625104934259,138.30088259586086,10725.297148347421,584.7575878234837,1945.8347254085506,30854.05102500125,-2661.8715153997314,-419.1479216557341,-429.77907299974066,821.3771134620192,-271.07604035284373,-224.97260349225775,138.68815513797415,1743.4856479937716,557.1669703097109,2698.766276074089,123.75040878797967,191.89055179133794,107.43611268168661,-1274.2908782665465,3517.831288974585,-2.7578188370132466,1942.4131309529555,3274.2254980908533,0.7080190113366598,-695.9322035387609,-4189.960561797703,57.5116452268212,66.83423400001334,-161.53542979715712,475.93713350741837,4380.344063621834,105.12747294504314,113.50284030882486,25419.009262277432,283.88681562435397,8516.87487638462,5941.782991115458,297.3047662209108,-1533.099542433254,6179.243600244699,169.78663870470896,-12.607193477841918,250.17779256506384,376.3611680423046
57492.394283350004,-2199.9401829597086,4687.9243354917135,2498.673786157918,2493.3016988190243,5437.811939773096,628.5859008394575,2206.737227419188,-216.81049422224328,7458.471155069415,552.8868382401231,-479.8400842660608,-1004.6517590814224,-140.49294261445368,-1.0691779958173697,-1169.6282000252431,9789.296757299484,2001.1722129155723,117.61010305420973,731.1466128941138,105.80020334440968,34.575839655177674,5270.767686861446,279.55531677393094,134.5379162256395,-62.47758058183757,102.92488381623389,236.6516892926004,-706.5263712063324,478.9133382926259,2953.9710291215038,398.25302328680914,-689.5610485706696,148.36159254855295,251.49841840282807,73.45618841062503,-440.99358974645065,4910.390449878387,1588.381257266804,-97.80343845894436,2854.88953364317,-158.45793445256743,4042.3820954453968,-935.3936079057245,-24.7817046628777,2313.7132763303257,-1050.7327359544067,792.2445970764005,-128.0787208567608,550.8342323120718,2808.39162297021,1027.8586704827842,2817.13181365506,4498.121528175538,5726.559903332713,11405.38949879356,971.8037849377273,-377.84651760063684,-675.7930226301487,1030.8550524149423,-438.02552474507456,-987.9830848221245,266.87135136617235,946.2439034962633,86.37700453649404,83.00126985496183,206.09244501651483,940.8308705449949,56.885844688929296,748.2910033119015,1619.897967030806,-363.1330036173565,172.25011539628758,29630.136426456473,-483.98729568950966,1761.090884065908,442.19099760746906,-213.17353201503624,60.660234061003635,-21.858540010368074,234.42508269610843,1336.8799513323988,1680.2586834688868,-1089.6274198450897,-2501.407629125679,1697.835562482283,65.76544135937928,-242.61189311565192,3855.3347587576395,131.4061664219923,11033.66456456902,-593.0951509945594,137.02741002243255,10770.77166141188,598.9589667932314,2014.5140072063664,30680.782849497373,-2579.0976637339454,-436.29141214096035,-410.5605928984797,840.0397147541807,-248.04351444191798,-237.46508318470552,114.15447468835714,1705.9276117121426,534.7388979460733,2704.8762388274326,130.78815333314225,172.2554553401427,130.52336245968527,-1289.7541128145679,3527.72954025792,-42.536878721282164,1932.3862311184996,3306.308658892944,0.05579310594453091,-676.8063003732274,-4240.8931170321885,69.45248406113433,63.48819025658395,-188.38368130565868,496.04327712115514,4338.541980246882,109.99867460685314,124.00013554749663,25440.47611813846,299.76015554362925,8658.85931272709,6060.758703674525,302.40786325810177,-1591.4609963423372,6257.989261097931,169.01062103712113,-8.847259503760995,247.05295934241178,381.99440722622785
59683.494234255,-2232.2260773497046,4747.903723820455,2433.63049531386,2438.781544812702,5380.795484787826,596.802035245477,2193.5801252992583,-233.24718933635245,7514.506544513048,547.8533508026987,-482.71423677655685,-1006.5254567981353,-129.27989308980943,-18.315431364770404,-1222.8745848176293,9859.660914819868,1985.7820308293137,126.52042478219971,719.9978134047151,101.00754839811015,19.71060338376435,5302.852932429072,290.4684367119919,125.88590456800893,-63.41998272264021,104.56467571956796,224.08662159901994,-664.7764740861694,479.6420731993011,2999.619795632596,400.3063017855942,-649.9902065628505,184.55742344908845,257.7236427159803,62.8250768842957,-399.7070440234795,4968.828090821452,1583.1736255417115,-115.05680709763232,2787.8905491157975,-148.86334633733497,4001.568944743451,-995.8087031291906,-45.04263144317258,2337.5399241124933,-1032.2669340640452,781.5582927903926,-108.14062641859323,524.2584637280395,2808.3643656083736,1049.9365529264762,2773.676478612214,4388.301141828077,5665.30144680629,11202.64449481108,986.0168162618218,-356.45238117982296,-690.0232360787185,1021.5196409370747,-442.4331135526693,-928.4509362196279,232.5332693610618,982.2851843119645,61.03671445283271,98.46882596681392,185.2184160360032,912.2372406542312,65.8646349168207,712.591379482609,1667.0955589193202,-352.7590630105177,194.55534097242162,28740.34495098261,-594.7786382534832,1747.5148446111518,399.29426087714603,-234.8967498162467,59.21125473738559,25.816701346957757,239.6314513326734,1390.5095406813693,1757.2108521232728,-1123.2728789389598,-2455.0453415927345,1707.6842507050405,70.11631981166039,-278.58998913700316,3855.0504700889546,125.56850752385887,10966.201664213859,-571.4208944533857,135.52722502668877,10750.682195729622,602.0821092856019,1976.4117920320352,30447.883231099015,-2560.854518100458,-420.084045434863,-418.02507017618024,840.1209039548371,-294.6645007465927,-239.67037006882993,128.9260290482212,1711.5159388947204,532.3379066535525,2694.2980913722076,133.53769300546193,156.2675301249925,116.22978037502128,-1265.380012575539,3487.795709261483,-24.338535720305572,1925.2515103966618,3292.996131337812,11.072415491882396,-689.8119404607113,-4235.315986511398,66.86310930162017,68.417953380825,-166.44527036729323,502.4595158558011,4376.210996761933,117.04004988449248,122.8866205311212,25424.937783405683,292.4346428050724,8535.21699868725,5903.770845278265,289.8954878233076,-1566.6158677411584,6118.840580737546,180.4451512741823,-10.588552191553617,245.61567997508297,370.01328034741715
58387.817261415,-2527.664380033926,4679.785604513636,2433.4375174101256,2441.321322630338,5788.5560959796485,589.6542728094028,1806.938837398992,-451.0270269762466,7506.334140142252,562.504130290174,-3.72078680962386,-839.3473154331268,-197.10402372225087,35.4563738122217,-1011.3122159059176,9731.014672325173,1911.5197368688473,99.3703954705361,1294.6808895975212,84.74585312403593,45.049150672424844,5517.086045790132,316.47366788984675,101.91641626100181,-106.90663096937931,97.49039945554864,244.66153562433377,-839.9607282188456,512.9723047928389,2744.6525566589557,431.74657673937554,-701.1435339881724,151.7286173698938,273.548568000272,108.46464823398736,-358.8418422485579,5039.224294773862,1433.394620329165,-148.77594334110864,2844.926418240637,-109.5462163212593,3983.194152900721,-810.8237174150237,17.626455349568005,1988.1706472542912,-1232.629157623983,632.4550694291601,-454.0319520041189,604.8080934573866,2761.404744845623,1001.0828550151086,2811.179137228976,4508.470876196631,5692.374232761337,11262.423963417923,1049.0853127453045,-353.9591984532485,-745.0483303835091,732.0782115580041,-393.5170949519777,-1036.020235311979,366.07936096342894,1042.4310387120481,82.00384370574636,94.65621907587322,386.8154118579407,995.5352984636386,18.232839480250732,635.7227387792761,1612.8048253896216,-371.41688515696916,531.1125208937201,28842.25903041198,1675.3271798843125,1733.4180113017117,518.2756231444218,-168.04743221098101,76.06117765111647,-61.234948930020664,257.28773045291143,1501.1089604814042,1654.7142217596868,-1439.276160729582,-2677.658456668756,1536.5849802133632,97.93633077707375,-328.38113412485154,3785.4350545634193,124.71648798881043,11006.80944962522,-626.5236424606727,145.79242187318926,10734.900911675517,661.1034811332854,2011.4705782411015,30994.386399340146,-3628.3816659011127,-296.6810816965924,-501.44035838987963,799.1530417280773,-327.02818256179216,-242.24234664920095,118.11129612554504,1622.9086149162029,546.7293181709199,2672.969537791165,151.74008939199214,134.6920475319273,108.96378920548037,-1349.820701918732,3516.463847963296,44.06665947977763,1928.156702822932,3349.7151971234975,30.716253336575562,-652.1366646307388,-4073.4344399289653,197.782463247328,21.731967849289845,-78.30049246627595,647.1665945559564,3564.0705905565756,90.46582001027414,106.2320547779195,25973.790930011062,283.38072284562304,6138.7584470081165,6326.411396571777,264.8621019415416,-1350.9375082126926,6042.739170366409,185.7781018424616,2.2383628035502596,220.67430649206568,377.43542352278234
56945.72724822,-2554.40256198954,4715.712899413113,2491.7214520830403,2477.527274332221,5968.89253405089,608.6387478315519,1812.7063430437775,-444.8303535957773,7562.959634940422,557.4274635329849,-67.97101512623658,-808.144357702455,-202.8188756967129,66.30117421085686,-1034.35872092323,9826.727822179271,1955.269423219493,80.60280745641762,1359.4785222136632,88.73219832954078,42.80830992895494,5645.030773452932,309.8136914067786,99.14314000136989,-99.91325720744919,101.24150068190687,248.24570274818845,-818.8400676589793,536.9492794937386,2743.198027208746,432.4184406951614,-737.5341760380622,160.22302607311946,286.3757402395513,109.97799556670253,-387.2992295442891,5075.742154841658,1469.975613178135,-153.5383141200573,2895.512682033616,-109.23933620345701,3994.416083741892,-791.0505496885194,51.07025164636116,1989.8247089644026,-1249.4845609764802,619.409345946335,-466.0652464943598,612.272308933367,2817.186884256585,1023.825378182585,2867.082310359783,4536.739158415142,5739.921129758979,11414.69542724828,1074.2774698978026,-351.39089026211013,-778.0429919162723,738.904547311754,-381.47187139613817,-1072.883732484661,388.3709765326753,1033.6410990094687,101.30687785712416,105.85328879259795,391.0985438841708,1022.5894324820581,23.17793767749913,651.4635922308862,1602.43155661914,-369.53671985532424,467.57717948754726,29347.58084785239,1635.67349764553,1686.279890930019,517.386995358055,-165.25817052505454,55.06550210339739,-43.70256129345432,264.4994840784658,1502.175835539625,1669.6507749962252,-1489.168388844382,-2713.953956841417,1569.4028892325832,122.64502390838152,-352.2115182908424,3827.9497149020162,143.8544588746859,11071.211606705012,-627.9396456212174,163.7842006972232,10814.732510700213,640.9126637167909,2012.1882376340234,30997.322056688798,-3662.0538372889387,-274.3110823116157,-497.1658389157008,824.6135431851933,-321.3253792806811,-212.23930717155122,137.2750318549464,1650.1572572349269,573.2230557748322,2714.744302973688,157.71699902865024,180.86386945393895,147.00920022689166,-1357.4398399413042,3464.7392002706556,31.720007033672573,1943.2334459797578,3322.255717377514,9.414858855306932,-637.8314990307313,-4079.6220593828757,241.5240724734199,28.57529964235289,-29.732159407926247,653.6039382465897,3616.2767091488386,112.91244752207862,126.54590790330391,25783.57707477366,300.57048906110333,6276.276927135356,6460.639607574906,292.0981131796618,-1354.2555477609021,6064.390786689051,188.20626236084996,5.5373488560934305,235.54607253491844,382.6261584847118
58223.652852835,-2197.5534275793007,4719.123540843108,2464.451673969855,2447.1747090689246,5332.90496767001,627.4800336007602,2131.0249988385804,-230.9423880616207,7532.859392482687,517.4196389021187,-514.3867766041581,-1075.063420055283,-122.95110512331848,5.554420217512188,-1213.5306631525045,9886.31880063653,1979.539553705104,138.37295818626046,723.1357167808515,108.03372300153063,51.30800584443995,5222.146238782753,261.3760987528549,127.4791163854834,-98.8177234515739,118.92738377229216,229.9571450781878,-666.7053717556543,464.0405864688808,2962.484501389025,395.63774963278746,-667.6710606085285,145.37770756246317,202.01771958185896,74.88380313028017,-402.5871110119763,4937.362867036743,1574.0120757887635,-111.2449543992227,2856.4628005391914,-156.4738990672838,4063.56349099058,-964.1906780066106,-24.46667977430468,2338.1096735345336,-1068.4939973044425,771.8976724066308,-78.31641130061416,542.6939430428779,2829.156202500805,1044.1574168260408,2817.8996836148635,4454.771703775631,5710.716667164557,11320.708209696151,961.4563690481625,-411.57754710135487,-685.3607561787009,1021.8234413175237,-440.0061375892968,-970.4668344408701,196.34812230591933,937.9940295004442,71.52295017651375,70.22421977711376,138.76280233335603,941.0235860701192,39.88711673852822,725.5130769587731,1613.3980933037956,-363.64027791506925,132.59890596990408,29012.45177713092,-366.36325765035417,1735.862420909439,380.4747079900362,-221.09049059415668,69.7332391379634,13.889964387080227,250.7773357976143,1391.7283140084974,1694.7815871951084,-1034.2903945194416,-2456.253240727241,1691.2752336864999,75.5477719638655,-292.30380546135905,3844.4931533900262,133.401066583736,10937.632298310195,-584.4916612718107,138.87158837809676,10732.948174291532,583.2243125880092,1990.1879054084775,31165.5928140933,-2609.8196245193094,-395.6210715917649,-412.4060826076649,824.4731689437905,-290.5022432054361,-232.6137689265389,132.8720294857911,1735.0825597529454,547.2681121077956,2727.7515028342273,129.74078776337112,161.0517098204047,116.49757797651031,-1270.2298246118537,3522.8534870939134,-32.139739119100796,1936.4894440060716,3304.494468535752,-10.642554965403292,-698.0721326935595,-4174.953704516644,57.67491499623475,86.56960576019344,-183.499083020924,486.69305410795914,4345.354596205086,117.15963451859713,132.3064176608918,25677.760140812912,283.260672331904,8715.50681430276,5984.887642394328,294.05313525390807,-1576.6581535322082,6272.822142965801,167.38580997673895,-3.2183070606697584,246.0653966958138,384.82807971220416
58953.50708617,-2220.9701970597316,4706.543771987982,2435.0365845201304,2432.3293290327965,5361.260150294404,611.1559268371217,2145.518055956684,-247.83492820831748,7553.4835458502785,541.4113333299817,-494.45401181689294,-1034.3427484813742,-127.05876154314683,6.613577426164085,-1173.8762995683824,9849.526833081969,1979.493315885807,127.55155555938222,753.1998263025062,91.76064390592069,29.44564897390518,5271.193891376275,270.66448462387666,116.9861689873548,-89.74313710698908,111.39101334089867,224.69973906654786,-683.7598848933217,482.1386648661015,2972.768784939729,406.08812211915324,-666.4350590537492,173.15843194693423,239.05837985707763,73.15428316434514,-404.61202921367817,4957.380382765488,1559.9689015715971,-116.49132607157776,2832.4553228302284,-150.32460494344207,3999.1614980722643,-952.1409412105357,-30.637004460361027,2278.4588602370986,-1048.3229591185705,762.7265652112707,-112.54562015260467,548.6417053451223,2837.534247531119,1032.0974715648144,2823.034556342747,4469.009720465197,5659.740610139749,11250.910092212243,990.6741068651717,-385.0988937060034,-696.0862846476288,1025.292009698047,-447.4975489147662,-984.4414601418985,226.73815321161112,971.5668350325909,73.45807813158274,76.89270639906309,180.3851881723989,937.2756247693466,62.77522018001571,716.763972149954,1596.8358540654667,-351.0198792800865,247.87162198627266,28673.015249050706,-368.7197353482816,1734.5054891597174,422.96285785242594,-210.83774502214476,61.78611636212355,5.301858269004583,232.7745423611168,1380.257438265825,1679.9405645642441,-1080.5696132061373,-2449.696104937184,1678.8377392655361,47.79594465064338,-262.94232253243104,3835.524425009599,124.19166675701814,10962.575963183612,-569.3743882407056,144.0302226775718,10699.036568838505,601.505247767444,1951.3966010211475,30769.353219504133,-2618.8842542986185,-390.8572152008678,-433.0001810612911,832.7783680371556,-280.6997322683927,-236.64609002847203,129.1243039003374,1708.18969433267,537.2867388297763,2682.8850074390266,136.30496458112137,170.1431722528239,118.93518913101335,-1270.7039957073837,3524.3655941191846,-0.523499051362478,1932.8032081009562,3302.286199417478,9.038952001318648,-683.7888803458554,-4188.445239890317,78.20222568940153,67.00936670066199,-174.15068199978214,474.87904509780265,4367.2985367008605,97.74595785598146,116.15695833469886,25519.66761400118,273.8800155322428,8503.20326806888,5946.603098847341,292.8495372941726,-1585.5236181264677,6180.026197843474,178.17021934984973,-6.627253951633492,247.04707737242336,374.7917546745201
