time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20,aperture:21,aperture:22,aperture:23,aperture:24,aperture:25,aperture:26,aperture:27,aperture:28,aperture:29,aperture:30,aperture:31,aperture:32,aperture:33,aperture:34,aperture:35,aperture:36,aperture:37,aperture:38,aperture:39,aperture:40,aperture:41,aperture:42,aperture:43,aperture:44,aperture:45,aperture:46,aperture:47,aperture:48,aperture:49,aperture:50,aperture:51,aperture:52,aperture:53,aperture:54,aperture:55,aperture:56,aperture:57,aperture:58,aperture:59,aperture:60,aperture:61,aperture:62,aperture:63,aperture:64,aperture:65,aperture:66,aperture:67,aperture:68,aperture:69,aperture:70,aperture:71,aperture:72,aperture:73,aperture:74,aperture:75,aperture:76,aperture:77,aperture:78,aperture:79,aperture:80,aperture:81,aperture:82,aperture:83,aperture:84,aperture:85,aperture:86,aperture:87,aperture:88,aperture:89,aperture:90,aperture:91,aperture:92,aperture:93,aperture:94,aperture:95,aperture:96,aperture:97,aperture:98,aperture:99,aperture:100,aperture:101,aperture:102,aperture:103,aperture:104,aperture:105,aperture:106,aperture:107,aperture:108,aperture:109,aperture:110
58515.450503964996,11.929925849191969,14.848333168093168,12.194940284316756,20.278,13.272844920882688,14.281381477214511,12.80160129373023,13.043472375444425,11.267282779136652,20.278,13.324760128935495,20.278,14.469235876092288,13.384837464808847,12.35072479668653,12.26371654095407,12.240131558105452,12.308862196605256,20.278,14.138468841289535,14.559214615711873,13.782804081111534,12.808396924294241,20.278,20.278,13.950166871995842,20.278,16.340861446535435,13.172945681544386,20.278,14.19946133908923,15.910596559680487,14.371353103300594,13.83998521036033,15.058255642519491,15.807717052487662,9.383587908207966,13.830055941944602,14.148877081743036,13.862504571384191,10.976588258367112,20.278,20.278,20.278,20.278,14.487986328219057,10.83618672466852,10.906578856167547,14.140659723728273,11.629406959037757,13.03299586443626,15.776007424261689,14.312363352854964,15.024291368908997,20.278,9.346684796507214,14.691977682718731,20.278,20.278,11.756784242547287,11.713283874858634,9.171940179239497,20.278,11.296881967528627,12.733236540475604,9.766465038418934,12.667387767988242,20.278,11.797829798156696,11.547809849060636,14.071174541201598,14.082866485219405,12.048155119534385,13.935547815675596,15.734226553326193,13.967974293680605,13.550045980793675,14.442089059390032,12.777544051192619,12.991141738783902,15.203686102980875,13.61228623190292,14.46412289422309,13.604554013252718,13.732451871784843,13.555616085366132,12.217867522432034,14.843937866770256,14.206167669256569,14.077598791123522,13.091322372910339,13.16112120476312,20.278,12.615800162911057,10.026181524077368,20.278,12.7240207007061,20.278,20.278,10.749496414555976,14.207418886392267,10.902348518208564,11.861122855190237,20.278,13.547081123236978,20.278,13.037447737021097,14.449172723779258,12.687399029811521,11.25042970553155,13.495186873944684
55226.489036754996,12.033368303643234,14.784946665938742,12.05692528743635,20.278,13.230223984046809,13.997634701622227,12.748718733262233,12.964105871651334,11.259089362672473,20.278,13.282753512623819,20.278,14.859519845945076,13.26342895644914,12.31980464136956,12.306781965561763,12.195650317993742,12.283217545466462,20.278,14.153435891938106,14.311698477674664,14.216056065985283,12.761119525692559,20.278,20.278,13.795909534194676,20.278,15.922531847078625,13.098230981321903,20.278,14.053602341047988,15.624223016463253,14.491516560308673,13.832795664797391,14.94051173509536,17.197164033377373,9.36492399205534,13.67284009388142,14.056751485608999,13.84598928005584,11.283299656814846,20.278,20.278,20.278,20.278,14.526585592358865,10.79995813721727,11.024926738518849,13.425678790441777,11.62143038673531,12.809839084455705,15.754113991021047,14.212522420902141,15.262261610426188,20.278,9.322949603007444,14.629973203455004,20.278,20.278,11.739709808347286,11.72508594654324,9.137197659259948,20.278,11.460196552805824,12.721381745307289,10.236340135103115,12.619234101897598,20.278,11.782337776215572,11.37844796507329,13.927509694222904,14.073228140687542,12.004243513195464,13.97247561126414,16.42898076841964,13.90243349070186,13.395873549525072,14.360288399265231,12.593788176844479,12.903757543634185,14.999865485582097,13.669229503013765,14.595207989228745,13.636375800941469,13.590408485049478,13.433816891581522,12.16462979409684,14.724320350698108,14.406356095714663,14.068587840666925,12.992840176545805,13.088790579719493,20.278,12.533354179510065,10.014373399581148,20.278,12.730846008640256,20.278,20.278,10.710002119748266,14.109608920107584,10.892491711925972,11.967295346007898,20.278,13.040658729678977,20.278,12.77242474898207,14.371968556302619,12.623406298297771,11.248174642246973,13.242631117224628
57784.258145855,11.93885773989661,14.930587790977027,12.178414337245544,20.278,13.252766924626844,14.246969978825348,12.809704473588484,13.06390266096278,11.259690724092515,20.278,13.353863716436004,20.278,14.552198037260906,13.33114119176139,12.345495882141114,12.268732146492159,12.245907923869488,12.306570944250788,20.278,14.143201706285327,14.64454721223508,13.8330185588132,12.838445240922551,20.278,20.278,13.96254100238174,20.278,17.069402096517628,13.150077637888327,20.278,14.177754275881432,15.71263316091091,14.437133801152099,13.79978751350906,14.78174763722476,16.036730246934987,9.38126358065013,13.676188925021323,13.992617240762858,13.879458462395332,11.008042852764758,20.278,20.278,20.278,20.278,14.468888520885727,10.821269444767397,10.94031495440415,14.0282869709023,11.641995644310898,13.121861023941872,15.976913079833624,14.348524259776996,14.999120823582466,20.278,9.3271458932454,14.79198590346366,20.278,20.278,11.763029991907743,11.711787395400735,9.149100337234023,20.278,11.368937916099455,12.77388864179137,9.973335833309863,12.653895203023177,20.278,11.794067038799191,11.507543897174452,14.033303836445603,14.136516859696243,12.032466146748629,13.902189765454093,15.874727214911703,14.077312757124691,13.537395001651364,14.467399155836313,12.899846058496683,12.954192864421136,15.341635305715636,13.664259283932875,14.49386653754095,13.617539999295962,13.705646328156389,13.585624755811745,12.223061793071263,14.777249324341602,14.236039769933829,14.08531968627822,13.133423917490953,13.210259040678233,20.278,12.597465991935556,10.027792126803005,20.278,12.725926828266443,20.278,20.278,10.734580282772177,14.178638910196737,10.901522549735999,11.865722262436451,20.278,13.655087518484107,20.278,13.02316589634391,14.516862206192522,12.917045028421619,11.270836492070666,14.10890937360548
57589.262329805,12.173780163306473,14.740081263789708,11.959571841450883,20.278,13.250961883979533,13.868434760058006,12.812609056040786,12.951765503031957,11.275127242948985,20.278,13.41255726891798,20.278,14.573488810493034,13.320342416046485,12.338710839768863,12.35232417308209,12.21387918516348,12.292507905586662,20.278,14.098782746870326,14.65403816715025,14.559220291443925,12.819802935418005,20.278,20.278,13.924610361942323,20.278,16.717735805490328,13.142711947603793,20.278,14.221062493464208,15.673943235172315,14.726354081934337,13.749859301607872,15.00991351284759,16.126372373126763,9.36514788960317,13.70792208574318,14.141076801350625,13.963040756923055,11.409782901489182,20.278,20.278,20.278,20.278,14.485979091954329,10.815285082080647,11.133330443772504,13.646440877290098,11.634975314815675,13.037143995203802,16.200166518515083,14.239373226666789,15.642921427959582,20.278,9.311423879938873,14.594132484804666,20.278,20.278,11.755205589730942,11.7225762885155,9.143588476546373,20.278,11.434995397664986,12.567667329815832,9.92426430800972,12.66090094822166,20.278,11.804643534732618,11.416140982285352,14.029091341355063,14.221072451708084,11.994530498855573,14.062668591025272,20.278,14.150356844063035,13.429704907715424,14.479683497913756,12.771520239356175,12.99486297007485,15.092362854136407,13.67833484622055,15.265015645421139,13.757219795213997,13.658258160005738,13.57491078979212,12.220250587768147,14.63906434438447,14.211772887168364,14.107251765063637,13.134056722656572,13.248597128623588,20.278,12.603322878026509,10.031366199626726,20.278,12.725041175776713,20.278,18.11835663794544,10.757268869643541,14.1898572369282,10.89719154418187,12.05223021380963,20.278,12.804022670879633,20.278,12.787108994348692,14.594648867711514,12.625548454888447,11.26841390027047,13.590465156834652
59041.42532095,12.137788385725777,14.746198699185662,12.006584706158447,20.278,13.375340980398425,13.996876966294563,12.840456043623485,12.971032372534166,11.306190834789255,20.278,13.438547712825764,20.278,14.425722280455213,13.391239794123814,12.370717651017253,12.377179916129707,12.249899594680395,12.327178877990315,20.278,14.191659858707,14.63398553533858,14.40838487837082,12.82629610880905,20.278,20.278,13.931166345066856,20.278,15.91249335229553,13.130855751431207,20.278,14.207122041963547,16.12690910534972,14.675177995621375,13.737380196649974,14.911117972181655,15.938626284508212,9.380191153138965,13.88937216589986,14.399262185362076,13.979568132993117,11.330226855608519,20.278,20.278,20.278,20.278,14.563995167105057,10.828165383931854,11.109431000968732,13.616788025137092,11.650924903771607,12.93492821913674,16.146305693040333,14.306756923206756,16.154140261835394,20.278,9.321783773471251,14.784057227355424,20.278,20.278,11.75698173619495,11.723590065677387,9.182242213984164,20.278,11.31605846727404,12.641633972568524,9.95095635081653,12.70078195752845,20.278,11.831300091556479,11.495516904877146,14.019575059330577,14.138554896170389,12.02872600232115,14.058368598814619,20.278,14.145217778416717,13.610809707486139,14.6543383316299,12.879054253463474,12.98955506863387,15.372974704599807,13.679250496056845,15.18944354224566,13.748819231756853,13.725198610963323,13.63229955905875,12.187084594863672,14.847700857230254,14.360614694821052,14.214314724738253,13.165636917054202,13.274935570652522,20.278,12.633134677980044,10.039961609706781,20.278,12.735679413102078,20.278,18.862144297807994,10.773531395496317,14.28502066290441,10.90547407564946,12.015215923133342,20.278,12.853790841118336,20.278,12.804844658957322,14.64437666255837,12.728849773715362,11.27964880999479,13.936287068764589
57949.79925989,12.147804985384537,14.720800852398272,11.970119878322036,20.278,13.268532042335442,13.86842023856889,12.795681468488747,12.925612689418658,11.281307684178392,20.278,13.431489338098773,20.278,14.456154590506879,13.35806878172625,12.34883943787144,12.35720572402541,12.240644548022273,12.283972824771183,20.278,14.162153414541113,14.85775825769919,14.509076672656105,12.826036422743448,20.278,20.278,13.938700897933954,20.278,16.37807280452434,13.149572017964486,20.278,14.157367686523973,15.614072427795778,14.859604870397419,13.779225503807835,14.806567977711344,15.880672575886587,9.383270412438238,13.760119780850232,14.183870949872931,13.987244524973894,11.35657815016737,20.278,20.278,20.278,20.278,14.439891141575282,10.822062245226968,11.123953328034673,13.548703976406763,11.635683668551813,13.002220597051435,16.348362163084815,14.265488659580267,16.025141145434702,20.278,9.323548841012615,14.597401025431592,20.278,20.278,11.764315910494865,11.723365622956557,9.14650448676251,20.278,11.398051133250828,12.6390726999892,9.92078636762439,12.68097912704102,14.821907070789006,11.808055438583645,11.439576995611938,13.94033203187134,14.168392225101472,12.03899225545461,13.946898096978735,20.278,14.193977292895607,13.413951302179571,14.63920891633344,12.896507441735944,12.979853153465053,15.258657369463698,13.681401173332642,15.131607193379502,13.720804116884946,13.744143396463139,13.573603251968215,12.184769488255224,14.823417680872266,14.346461160356965,14.132147734964144,13.091954288515575,13.209803371646926,20.278,12.61907336300654,10.029773519438132,20.278,12.741011552083805,20.278,18.98536132979897,10.747995341805947,14.162725478411755,10.906375704872012,12.030754376729258,20.278,12.860153524540262,20.278,12.81637109427062,14.73536027463917,12.841930572273727,11.283556117803883,14.20384043521473
58675.672803990004,12.117135797087952,14.73255896181057,12.006796725761872,20.278,13.313204706875378,13.888995064122573,12.82169967483678,12.92044119360208,11.289036996887772,20.278,13.398007935210655,20.278,14.460390339421805,13.393206912567356,12.349963322381372,12.365030234733345,12.241860988811457,12.319797369949349,20.278,14.21054756663202,14.574377700181982,14.351591793371934,12.811133525192936,20.278,20.278,13.993772194600828,20.278,15.939147838704523,13.178484464233497,20.278,14.072381729741641,15.311711422307129,14.669056944101074,13.729496915945868,15.16719067231559,16.164333649497,9.380512267135035,13.847083513442199,14.309793387251775,13.985592869380055,11.316663854601869,20.278,20.278,20.278,20.278,14.50008532662603,10.825869822042053,11.115085020557077,13.467986434283763,11.6339356622172,12.923512854931504,16.228878125454838,14.326229504836283,15.742106208345467,20.278,9.322708345048015,14.594883012297185,20.278,20.278,11.766937935347055,11.749024907174961,9.169583375243695,20.278,11.317377464618989,12.603849372123554,9.830590327483158,12.708467724532975,20.278,11.823014525340389,11.496087646876347,14.041989671372496,14.204385329800965,12.049682564527398,13.89985064664681,20.278,14.165792380709227,13.460059586672424,14.645854210445805,12.880591631039612,13.02312536999665,15.197966177284961,13.678853952111133,14.964824721816884,13.775312586593301,13.73218957531015,13.635273183303461,12.200242433441133,14.945582710749717,14.135455785359055,14.186949506186798,13.14185385270301,13.257384821731979,20.278,12.613573998079417,10.034908552956674,20.278,12.748249646800126,20.278,21.387729986262922,10.76077347299003,14.249909649239962,10.91090246772641,12.02975972525955,20.278,12.850784576066347,20.278,12.773102735798846,14.625001382451675,12.737816137514722,11.266114998119404,13.900991002666537
55406.576450990004,12.02733199873175,14.869582160590697,12.061801644467257,20.278,13.221326760687242,13.9705633027471,12.72535477249919,12.958425488387133,11.262978215466992,20.278,13.287465992599797,20.278,14.736272396792687,13.273729970933829,12.319228033099536,12.298511186165937,12.203922646614322,12.281537423222906,20.278,14.112728930304213,14.384166764761748,14.096378148478987,12.786658534173787,20.278,20.278,13.817808629565928,20.278,15.923139346002108,13.098083393337507,20.278,14.043736303543524,15.643902242962229,14.441403541071878,13.623474306320636,14.825992519661897,17.36036439102933,9.37436040467663,13.769326113661718,14.082091484853132,13.754629393706129,11.201141707229395,20.278,20.278,20.278,20.278,14.607697028572906,10.802490112339887,11.067262064102115,13.342887414655047,11.628107788111018,12.747001590513724,15.425487361634074,14.174844372473352,15.291273896440499,20.278,9.30635832580604,14.756605828521348,20.278,20.278,11.739362904811399,11.719040448337275,9.132766609520164,20.278,11.4816726638781,12.732142318301046,10.247210163848031,12.661590381810228,20.278,11.760446647314703,11.392069472381877,14.032113364735034,14.209096791586985,12.035441486826961,13.905461756332967,15.613951840733831,14.005990900604496,13.430713369531777,14.385111218226672,12.754227653828446,12.929355498099047,15.067130109523614,13.737010756168003,14.627485725639746,13.669300621648784,13.616589822433399,13.495612557068203,12.220858854986574,14.743649909440624,14.44238035064502,14.078967573775868,13.058048771526611,13.14512772593167,20.278,12.55212121360272,10.017856747712072,20.278,12.678062062954487,20.278,20.278,10.774095650520916,14.142340207066338,10.88470172146567,11.974952367739164,20.278,13.148242208832231,20.278,12.798741607850776,14.42776399323805,12.7682518993216,11.257301306876252,14.043144021542904
57418.479889225,11.931462770243117,15.0036369357036,12.191291360327893,20.278,13.23898472810522,14.275324403398647,12.803645787698821,13.047403391203725,11.273345033336561,20.278,13.345325339561182,20.278,14.529310839204527,13.318236522367751,12.3289308571014,12.253905787597345,12.206852134314454,12.305341114409725,20.278,14.16873842185075,14.588591488176034,13.82542444119374,12.791390019588983,20.278,20.278,13.865223187855925,20.278,16.613799125274603,13.14684426839126,20.278,14.181433661338678,16.042525781283313,14.45873495284365,13.841224879964473,14.811035782845464,15.800603886496598,9.383383620706839,13.697787449885508,13.993098826056956,14.004629030195325,11.00997255641149,20.278,20.278,20.278,20.278,14.4224963316599,10.81635603203677,10.928146578848184,13.880255696083063,11.631269699908028,13.011443941846505,15.94307932255265,14.39473476090331,15.020741128573052,20.278,9.32098275518665,14.783349777323389,20.278,20.278,11.746510207237518,11.726999921084342,9.138232893435964,20.278,11.413511238699822,12.754652189615532,9.962507047735627,12.724737410611569,20.278,11.767161992550307,11.451753651629268,13.99495136896516,14.125070447913787,12.033834469419133,13.962176579342065,15.766755561592564,14.174858334426117,13.575757237543366,14.406847180754765,12.903612420666175,12.963616990626099,15.39216901210275,13.686161338055658,14.509526398589257,13.633149455933994,13.745487630982991,13.597716474140762,12.225993844210517,14.699436418862652,14.26389549056622,14.074322148909067,13.109211604528983,13.180954268675483,20.278,12.596566200416929,10.024138295461105,20.278,12.735110069073434,20.278,20.278,10.719669762422072,14.24585078405192,10.89189772966367,11.848627907555858,20.278,13.670062357284873,20.278,13.050160811410173,14.446376603181418,12.954420594700165,11.264031453420822,14.193611652262168
58879.751507365,11.91737681662064,14.995910888428748,12.204901704794896,20.278,13.348432080053731,14.516228464178365,12.782085625225102,13.065148192503974,11.277196676465712,20.278,13.327351073979802,20.278,14.590668364518242,13.36245445972253,12.326352454044606,12.275867398291302,12.247153221107279,12.294544760044536,20.278,14.214342962541773,14.719304839092326,13.846274510916917,12.818327643534179,20.278,20.278,13.923080383171799,20.278,16.68155531341533,13.191560609794122,20.278,14.321750200009289,15.603199087158904,14.330683424459302,13.852825455492344,14.789420796812923,15.994529554283398,9.388066237929943,13.889494638157178,14.27612734884024,13.98408026959027,10.967336272509412,20.278,20.278,20.278,20.278,14.426608998710071,10.824413025424859,10.919503308103378,13.957457752418508,11.637695208114392,12.952060937791662,15.8685165434081,14.379038578008103,15.243999309136282,20.278,9.339408365430995,14.779936046710603,20.278,20.278,11.771587217264825,11.701893871106808,9.165620611224268,20.278,11.272579592271535,12.74783173557926,9.859640950300816,12.71501259780818,20.278,11.797421898656399,11.542375267941027,14.047383500687971,14.124724444244949,12.04499653332175,13.92081911111709,15.835999047673264,14.14257722890443,13.603434890661946,14.488882194836414,12.970261528635385,12.959443934871825,15.477062074155876,13.65707236243762,14.600377431187463,13.637356407680349,13.765868993260682,13.647923694653779,12.207321553479991,14.899639155413283,14.257236821435562,14.069142457419536,13.110168322536785,13.184953516645743,20.278,12.647567286315972,10.030317410849776,20.278,12.757162564164208,20.278,16.968572141014796,10.732720228440387,14.325473531707622,10.896503968231285,11.851414073302992,20.278,13.590408195861077,20.278,12.951854811893977,14.460008285607621,12.956413990170494,11.279367813199322,14.385334568273555
