time,aperture:0,aperture:1,aperture:2,aperture:3
57442.75103245,10.96252703928285,13.793868038707878,11.778971546341547,15.221796284454923
58737.2760844,11.00957768081619,13.747557548890077,11.789012738779435,15.545373173484451
59262.77332403,11.34061164380487,14.009479599751636,11.784881983447521,15.205091270607126
56914.38737522,11.035238001932505,13.77432518984734,11.778249806939323,15.405495170257266
57277.680467494996,10.884464645249118,13.771107486906098,11.792566704792275,15.393675827046426
58895.269622110005,10.892319978752903,13.893917046532536,11.792657324388822,15.244375356687986
59103.139799109995,11.112096534359557,13.949950973957295,11.795299271694375,15.437421973896344
57083.65355571,9.71166126687379,13.477150338899799,11.779050594383014,15.227069320126303
55259.65565112,10.196104763147703,13.58798388924903,11.77862334280242,15.447112160725995
59626.651913224996,11.201777563824118,14.319243375261793,11.790806336413212,15.38696798796491
58007.525813145,10.313459238492346,13.699044477494182,11.795174472569258,15.412150020144749
58373.124890524996,11.17023771118952,13.693747457745392,11.792879798255276,15.430598073598606
57807.00066956,11.059847841495209,13.705841371971736,11.79343875103074,15.336773548204397
58164.065261845,10.69881431037412,13.602571583143218,11.790457266747715,15.233801554057056
56723.122048735,11.068182435876983,13.585779898428662,11.774697568401026,15.292894623554682
59468.640066014996,10.975116991053172,14.138207906354422,11.798736350671895,15.330921858132134
58529.73065652,10.056615950779486,13.884149253973975,11.79134959437236,15.320889606099923
57641.982480235,10.091485557834988,13.698409170091741,11.790202676434749,15.407349818095549
