time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10
59630.639507395,341.30979276678113,1004.5327713561044,404.8558308947473,163.60664132946553,354.3166008798703,386.28706762350845,260.625231972512,815.4423996034443,336.603432373493,741.4746108740592,220.61378798126879
57814.50243137,361.0050938337431,973.8169011647891,415.5235521884491,183.28165489248764,354.3609946539992,390.8743996410768,281.4684845519694,850.6936841061107,349.68740877844095,754.9565341292904,247.47954005448292
55263.893387205,370.5259689713119,979.9912541937778,408.49643354286246,194.27297508132142,345.88220413932976,404.4004917708376,281.7388590057951,840.3898458492775,340.0047145784962,750.0273029538694,284.23766445859746
58377.374922400006,349.1352681963292,974.7502991090201,418.16984451823885,184.65314551970576,351.5286049489789,403.1047490820484,276.12981850759314,836.6687915477121,327.61422250639066,759.0107711413792,299.3595431242197
58013.15262354,348.99636344864336,983.3283808401384,412.91862568124367,183.86966776059862,342.68719897451854,391.4248963516094,266.1167026408944,822.0237042093612,343.4735315968194,751.1945908323612,313.2861664424935
57649.93858180501,349.012964756732,979.8081889626615,426.0223500228559,183.28083229519763,350.75726622366585,392.30044022215895,265.9157090417423,829.8609963891157,320.9385712150716,731.2995054929194,316.24019488290446
59472.884233635,345.4473722863264,1000.9377397957957,424.0100702553245,168.45007059415894,341.6956579988728,402.20552869045304,268.95332945360275,831.9478663040184,339.7381570870743,752.9111038488003,284.17434223967905
58168.192061985,358.08259940015876,984.6688295319545,413.4989094846145,175.83318314948303,370.86343923206516,386.5437231001322,279.3206249977686,850.9771797495014,342.97413181134317,748.071036824261,244.35907051442507
58535.164178005,345.12920801802335,992.3908054195537,413.8602778315881,166.21919627829286,373.21744326969394,384.09086521277754,272.7524072843207,833.9031460799093,352.308577762891,742.1547636482205,239.96963209278437
56726.944794295,348.0087689018584,989.9902461298228,412.75629591800106,188.6832540525635,351.5784115608924,387.32148316036654,264.66673091716314,838.3750336978155,365.7213597301902,737.9109596355082,246.69132922764462
56918.16593866,349.5506758493308,994.3350744096265,411.09500857536847,176.63044356861116,352.0434316335224,414.4334226399683,254.49847592371844,826.5900841222458,341.55290292301436,747.602812111522,303.32176203452843
58744.566551865,351.85374742082587,998.8683566705633,408.96754870370694,162.63755495844487,340.52677569242695,411.71642828810224,260.80903714940473,820.1954169422403,337.2903897688055,737.2962846829951,294.0660186917421
59264.99951193,350.5764867886802,973.3702815003649,408.8304566948627,159.7946218548163,374.4108094735983,380.1129476219469,272.55617254518404,824.2612188301032,350.244271236352,738.3983674129067,227.3196430089341
57446.883859005,387.2787914259445,1008.7776832930333,396.97535032154144,169.7559921858162,357.0309366876047,394.76440626767186,270.1354208142226,833.5176384992598,361.3417724786165,753.7061021527844,249.05547125467714
58899.328332150006,359.7944978015584,997.3894272578115,424.08093452549156,174.57222582582014,359.19684519455063,380.3136678319465,277.48484375016307,842.9464675736419,331.03218928823907,750.4440575330949,229.7805190742135
57087.794392725,332.0557916601372,984.2455731034441,404.8193652674581,180.670027841541,350.81790717060403,391.3263675924296,258.7371768021659,836.566473816223,355.3463662184689,740.6485207450954,248.9344244454042
57282.006334959995,335.57561837668925,967.3975138552355,420.67849718649614,185.41918102583207,370.68846690674,388.745916343005,277.83771406314133,832.0845689483331,339.17577917103574,762.8126634584308,306.9271550339879
59108.695098785,345.6308535319831,972.3767745987886,403.3497893733963,174.82614761652974,338.8919213066067,389.3758843320735,273.03279742889947,810.1782617339029,323.7024012536508,762.6045391532123,296.7458602254276
